goos: darwin
goarch: arm64
pkg: github.com/slachiewicz/go-avro-bench
cpu: Apple M1
BenchmarkEncodingDecode/flat/binary/typed/hamba-8   	 7915773	       155.9 ns/op	     105 B/op	       1 allocs/op
BenchmarkEncodingDecode/flat/binary/dynamic/hamba-8            	 1000000	      1031 ns/op	     585 B/op	      19 allocs/op
BenchmarkEncodingDecode/flat/binary/dynamic/hamba-8            	 1000000	      1028 ns/op	     585 B/op	      19 allocs/op
BenchmarkEncodingDecode/flat/binary/dynamic/hamba-8            	 1000000	      1030 ns/op	     585 B/op	      19 allocs/op
BenchmarkEncodingDecode/flat/binary/dynamic/hamba-8            	 1000000	      1034 ns/op	     585 B/op	      19 allocs/op
BenchmarkEncodingDecode/flat/binary/dynamic/hamba-8            	 1000000	      1019 ns/op	     585 B/op	      19 allocs/op
BenchmarkEncodingDecode/flat/binary/dynamic/hamba-8            	 1000000	      1017 ns/op	     585 B/op	      19 allocs/op
BenchmarkEncodingDecode/flat/binary/dynamic/hamba-8            	 1000000	      1052 ns/op	     585 B/op	      19 allocs/op
BenchmarkEncodingDecode/flat/binary/dynamic/hamba-8            	 1000000	      1010 ns/op	     585 B/op	      19 allocs/op
BenchmarkEncodingDecode/flat/binary/dynamic/hamba-8            	 1206856	       994.0 ns/op	     585 B/op	      19 allocs/op
BenchmarkEncodingDecode/flat/binary/dynamic/hamba-8            	 1000000	      1041 ns/op	     585 B/op	      19 allocs/op
BenchmarkEncodingDecode/flat/binary/dynamic/iskorotkov-8       	 1000000	      1005 ns/op	     585 B/op	      19 allocs/op
BenchmarkEncodingDecode/flat/binary/dynamic/iskorotkov-8       	 1218097	       970.5 ns/op	     585 B/op	      19 allocs/op
BenchmarkEncodingDecode/flat/binary/dynamic/iskorotkov-8       	 1205283	      1095 ns/op	     585 B/op	      19 allocs/op
BenchmarkEncodingDecode/flat/binary/dynamic/iskorotkov-8       	 1159405	      1002 ns/op	     585 B/op	      19 allocs/op
BenchmarkEncodingDecode/flat/binary/dynamic/iskorotkov-8       	 1000000	      1001 ns/op	     585 B/op	      19 allocs/op
BenchmarkEncodingDecode/flat/binary/dynamic/iskorotkov-8       	 1218500	       986.2 ns/op	     585 B/op	      19 allocs/op
BenchmarkEncodingDecode/flat/binary/dynamic/iskorotkov-8       	 1219078	       971.7 ns/op	     585 B/op	      19 allocs/op
BenchmarkEncodingDecode/flat/binary/dynamic/iskorotkov-8       	 1224517	       992.5 ns/op	     585 B/op	      19 allocs/op
BenchmarkEncodingDecode/flat/binary/dynamic/iskorotkov-8       	 1229726	       968.0 ns/op	     585 B/op	      19 allocs/op
BenchmarkEncodingDecode/flat/binary/dynamic/iskorotkov-8       	 1251414	       984.5 ns/op	     585 B/op	      19 allocs/op
BenchmarkEncodingDecode/flat/binary/dynamic/twmb-8             	 2794117	       441.3 ns/op	     465 B/op	      11 allocs/op
BenchmarkEncodingDecode/flat/binary/dynamic/twmb-8             	 2703980	       458.0 ns/op	     465 B/op	      11 allocs/op
BenchmarkEncodingDecode/flat/binary/dynamic/twmb-8             	 2679030	       445.2 ns/op	     465 B/op	      11 allocs/op
BenchmarkEncodingDecode/flat/binary/dynamic/twmb-8             	 2814879	       440.5 ns/op	     465 B/op	      11 allocs/op
BenchmarkEncodingDecode/flat/binary/dynamic/twmb-8             	 2428200	       449.8 ns/op	     465 B/op	      11 allocs/op
BenchmarkEncodingDecode/flat/binary/dynamic/twmb-8             	 2677864	       442.7 ns/op	     465 B/op	      11 allocs/op
BenchmarkEncodingDecode/flat/binary/dynamic/twmb-8             	 2728815	       443.0 ns/op	     465 B/op	      11 allocs/op
BenchmarkEncodingDecode/flat/binary/dynamic/twmb-8             	 2729770	       434.6 ns/op	     465 B/op	      11 allocs/op
BenchmarkEncodingDecode/flat/binary/dynamic/twmb-8             	 2775222	       437.0 ns/op	     465 B/op	      11 allocs/op
BenchmarkEncodingDecode/flat/binary/dynamic/twmb-8             	 2703190	       443.8 ns/op	     465 B/op	      11 allocs/op
BenchmarkEncodingDecode/flat/binary/dynamic/goavro-8           	 3801708	       301.9 ns/op	     448 B/op	      10 allocs/op
BenchmarkEncodingDecode/flat/binary/dynamic/goavro-8           	 4043702	       300.2 ns/op	     448 B/op	      10 allocs/op
BenchmarkEncodingDecode/flat/binary/dynamic/goavro-8           	 4048208	       299.8 ns/op	     448 B/op	      10 allocs/op
BenchmarkEncodingDecode/flat/binary/dynamic/goavro-8           	 4083540	       303.0 ns/op	     448 B/op	      10 allocs/op
BenchmarkEncodingDecode/flat/binary/dynamic/goavro-8           	 4026270	       299.9 ns/op	     448 B/op	      10 allocs/op
BenchmarkEncodingDecode/flat/binary/dynamic/goavro-8           	 3847119	       296.7 ns/op	     448 B/op	      10 allocs/op
BenchmarkEncodingDecode/flat/binary/dynamic/goavro-8           	 4018947	       306.2 ns/op	     448 B/op	      10 allocs/op
BenchmarkEncodingDecode/flat/binary/dynamic/goavro-8           	 3853441	       308.9 ns/op	     448 B/op	      10 allocs/op
BenchmarkEncodingDecode/flat/binary/dynamic/goavro-8           	 3869482	       310.6 ns/op	     448 B/op	      10 allocs/op
BenchmarkEncodingDecode/flat/binary/dynamic/goavro-8           	 3920540	       309.1 ns/op	     448 B/op	      10 allocs/op
BenchmarkEncodingDecode/flat/textual/typed/twmb-8              	 1324328	       912.1 ns/op	     297 B/op	       7 allocs/op
BenchmarkEncodingDecode/flat/textual/typed/twmb-8              	 1319925	       922.5 ns/op	     297 B/op	       7 allocs/op
BenchmarkEncodingDecode/flat/textual/typed/twmb-8              	 1331425	       905.3 ns/op	     297 B/op	       7 allocs/op
BenchmarkEncodingDecode/flat/textual/typed/twmb-8              	 1329968	       950.7 ns/op	     297 B/op	       7 allocs/op
BenchmarkEncodingDecode/flat/textual/typed/twmb-8              	 1317393	       908.0 ns/op	     297 B/op	       7 allocs/op
BenchmarkEncodingDecode/flat/textual/typed/twmb-8              	 1329500	       908.5 ns/op	     297 B/op	       7 allocs/op
BenchmarkEncodingDecode/flat/textual/typed/twmb-8              	 1318400	       910.3 ns/op	     297 B/op	       7 allocs/op
BenchmarkEncodingDecode/flat/textual/typed/twmb-8              	 1334353	       910.2 ns/op	     297 B/op	       7 allocs/op
BenchmarkEncodingDecode/flat/textual/typed/twmb-8              	 1328101	       906.6 ns/op	     297 B/op	       7 allocs/op
BenchmarkEncodingDecode/flat/textual/typed/twmb-8              	 1274302	       939.9 ns/op	     297 B/op	       7 allocs/op
BenchmarkEncodingDecode/flat/textual/dynamic/twmb-8            	  931353	      1277 ns/op	     641 B/op	      15 allocs/op
BenchmarkEncodingDecode/flat/textual/dynamic/twmb-8            	  910167	      1305 ns/op	     641 B/op	      15 allocs/op
BenchmarkEncodingDecode/flat/textual/dynamic/twmb-8            	  896977	      1300 ns/op	     641 B/op	      15 allocs/op
BenchmarkEncodingDecode/flat/textual/dynamic/twmb-8            	  914581	      1294 ns/op	     641 B/op	      15 allocs/op
BenchmarkEncodingDecode/flat/textual/dynamic/twmb-8            	  927816	      1292 ns/op	     641 B/op	      15 allocs/op
BenchmarkEncodingDecode/flat/textual/dynamic/twmb-8            	  935264	      1306 ns/op	     641 B/op	      15 allocs/op
BenchmarkEncodingDecode/flat/textual/dynamic/twmb-8            	  947976	      1329 ns/op	     641 B/op	      15 allocs/op
BenchmarkEncodingDecode/flat/textual/dynamic/twmb-8            	  925719	      1322 ns/op	     641 B/op	      15 allocs/op
BenchmarkEncodingDecode/flat/textual/dynamic/twmb-8            	  913082	      1288 ns/op	     641 B/op	      15 allocs/op
BenchmarkEncodingDecode/flat/textual/dynamic/twmb-8            	 1000000	      1251 ns/op	     641 B/op	      15 allocs/op
BenchmarkEncodingDecode/flat/textual/dynamic/goavro-8          	  947564	      1213 ns/op	     688 B/op	      34 allocs/op
BenchmarkEncodingDecode/flat/textual/dynamic/goavro-8          	 1000000	      1206 ns/op	     688 B/op	      34 allocs/op
BenchmarkEncodingDecode/flat/textual/dynamic/goavro-8          	  898938	      1250 ns/op	     688 B/op	      34 allocs/op
BenchmarkEncodingDecode/flat/textual/dynamic/goavro-8          	  946422	      1216 ns/op	     688 B/op	      34 allocs/op
BenchmarkEncodingDecode/flat/textual/dynamic/goavro-8          	  988746	      1217 ns/op	     688 B/op	      34 allocs/op
BenchmarkEncodingDecode/flat/textual/dynamic/goavro-8          	 1000000	      1197 ns/op	     688 B/op	      34 allocs/op
BenchmarkEncodingDecode/flat/textual/dynamic/goavro-8          	 1000000	      1225 ns/op	     688 B/op	      34 allocs/op
BenchmarkEncodingDecode/flat/textual/dynamic/goavro-8          	 1000000	      1198 ns/op	     688 B/op	      34 allocs/op
BenchmarkEncodingDecode/flat/textual/dynamic/goavro-8          	  923106	      1219 ns/op	     688 B/op	      34 allocs/op
BenchmarkEncodingDecode/flat/textual/dynamic/goavro-8          	 1000000	      1196 ns/op	     688 B/op	      34 allocs/op
BenchmarkEncodingDecode/flat/single-object/typed/hamba-8       	 7904306	       152.5 ns/op	     105 B/op	       1 allocs/op
BenchmarkEncodingDecode/flat/single-object/typed/hamba-8       	 8010290	       150.5 ns/op	     105 B/op	       1 allocs/op
BenchmarkEncodingDecode/flat/single-object/typed/hamba-8       	 7533618	       152.4 ns/op	     105 B/op	       1 allocs/op
BenchmarkEncodingDecode/flat/single-object/typed/hamba-8       	 7432842	       154.0 ns/op	     105 B/op	       1 allocs/op
BenchmarkEncodingDecode/flat/single-object/typed/hamba-8       	 8393779	       151.5 ns/op	     105 B/op	       1 allocs/op
BenchmarkEncodingDecode/flat/single-object/typed/hamba-8       	 7953759	       152.2 ns/op	     105 B/op	       1 allocs/op
BenchmarkEncodingDecode/flat/single-object/typed/hamba-8       	 7817379	       151.2 ns/op	     105 B/op	       1 allocs/op
BenchmarkEncodingDecode/flat/single-object/typed/hamba-8       	 8102714	       152.5 ns/op	     105 B/op	       1 allocs/op
BenchmarkEncodingDecode/flat/single-object/typed/hamba-8       	 7664937	       157.0 ns/op	     105 B/op	       1 allocs/op
BenchmarkEncodingDecode/flat/single-object/typed/hamba-8       	 7490637	       157.0 ns/op	     105 B/op	       1 allocs/op
BenchmarkEncodingDecode/flat/single-object/typed/iskorotkov-8  	 8349074	       144.3 ns/op	     105 B/op	       1 allocs/op
BenchmarkEncodingDecode/flat/single-object/typed/iskorotkov-8  	 8412396	       144.3 ns/op	     105 B/op	       1 allocs/op
BenchmarkEncodingDecode/flat/single-object/typed/iskorotkov-8  	 8351451	       145.7 ns/op	     105 B/op	       1 allocs/op
BenchmarkEncodingDecode/flat/single-object/typed/iskorotkov-8  	 8254522	       145.9 ns/op	     105 B/op	       1 allocs/op
BenchmarkEncodingDecode/flat/single-object/typed/iskorotkov-8  	 8198622	       147.2 ns/op	     105 B/op	       1 allocs/op
BenchmarkEncodingDecode/flat/single-object/typed/iskorotkov-8  	 8130195	       144.8 ns/op	     105 B/op	       1 allocs/op
BenchmarkEncodingDecode/flat/single-object/typed/iskorotkov-8  	 8111492	       143.7 ns/op	     105 B/op	       1 allocs/op
BenchmarkEncodingDecode/flat/single-object/typed/iskorotkov-8  	 8150523	       144.0 ns/op	     105 B/op	       1 allocs/op
BenchmarkEncodingDecode/flat/single-object/typed/iskorotkov-8  	 8170212	       144.9 ns/op	     105 B/op	       1 allocs/op
BenchmarkEncodingDecode/flat/single-object/typed/iskorotkov-8  	 8482615	       146.5 ns/op	     105 B/op	       1 allocs/op
BenchmarkEncodingDecode/flat/single-object/typed/twmb-8        	 8521468	       143.9 ns/op	     105 B/op	       2 allocs/op
BenchmarkEncodingDecode/flat/single-object/typed/twmb-8        	 8107783	       142.5 ns/op	     105 B/op	       2 allocs/op
BenchmarkEncodingDecode/flat/single-object/typed/twmb-8        	 8196306	       146.3 ns/op	     105 B/op	       2 allocs/op
BenchmarkEncodingDecode/flat/single-object/typed/twmb-8        	 8203849	       142.6 ns/op	     105 B/op	       2 allocs/op
BenchmarkEncodingDecode/flat/single-object/typed/twmb-8        	 8225335	       149.4 ns/op	     105 B/op	       2 allocs/op
BenchmarkEncodingDecode/flat/single-object/typed/twmb-8        	 8175050	       145.3 ns/op	     105 B/op	       2 allocs/op
BenchmarkEncodingDecode/flat/single-object/typed/twmb-8        	 8168564	       152.5 ns/op	     105 B/op	       2 allocs/op
BenchmarkEncodingDecode/flat/single-object/typed/twmb-8        	 7974492	       152.7 ns/op	     105 B/op	       2 allocs/op
BenchmarkEncodingDecode/flat/single-object/typed/twmb-8        	 7918707	       153.7 ns/op	     105 B/op	       2 allocs/op
BenchmarkEncodingDecode/flat/single-object/typed/twmb-8        	 7849597	       151.6 ns/op	     105 B/op	       2 allocs/op
BenchmarkEncodingDecode/flat/single-object/dynamic/hamba-8     	 1000000	      1086 ns/op	     585 B/op	      19 allocs/op
BenchmarkEncodingDecode/flat/single-object/dynamic/hamba-8     	 1000000	      1086 ns/op	     585 B/op	      19 allocs/op
BenchmarkEncodingDecode/flat/single-object/dynamic/hamba-8     	 1000000	      1078 ns/op	     585 B/op	      19 allocs/op
BenchmarkEncodingDecode/flat/single-object/dynamic/hamba-8     	 1000000	      1070 ns/op	     585 B/op	      19 allocs/op
BenchmarkEncodingDecode/flat/single-object/dynamic/hamba-8     	 1000000	      1080 ns/op	     585 B/op	      19 allocs/op
BenchmarkEncodingDecode/flat/single-object/dynamic/hamba-8     	 1000000	      1075 ns/op	     585 B/op	      19 allocs/op
BenchmarkEncodingDecode/flat/single-object/dynamic/hamba-8     	 1000000	      1077 ns/op	     585 B/op	      19 allocs/op
BenchmarkEncodingDecode/flat/single-object/dynamic/hamba-8     	 1000000	      1086 ns/op	     585 B/op	      19 allocs/op
BenchmarkEncodingDecode/flat/single-object/dynamic/hamba-8     	 1000000	      1106 ns/op	     585 B/op	      19 allocs/op
BenchmarkEncodingDecode/flat/single-object/dynamic/hamba-8     	 1000000	      1083 ns/op	     585 B/op	      19 allocs/op
BenchmarkEncodingDecode/flat/single-object/dynamic/iskorotkov-8         	 1000000	      1094 ns/op	     585 B/op	      19 allocs/op
BenchmarkEncodingDecode/flat/single-object/dynamic/iskorotkov-8         	 1000000	      1101 ns/op	     585 B/op	      19 allocs/op
BenchmarkEncodingDecode/flat/single-object/dynamic/iskorotkov-8         	 1000000	      1093 ns/op	     585 B/op	      19 allocs/op
BenchmarkEncodingDecode/flat/single-object/dynamic/iskorotkov-8         	 1000000	      1096 ns/op	     585 B/op	      19 allocs/op
BenchmarkEncodingDecode/flat/single-object/dynamic/iskorotkov-8         	 1000000	      1103 ns/op	     585 B/op	      19 allocs/op
BenchmarkEncodingDecode/flat/single-object/dynamic/iskorotkov-8         	 1000000	      1100 ns/op	     585 B/op	      19 allocs/op
BenchmarkEncodingDecode/flat/single-object/dynamic/iskorotkov-8         	 1000000	      1099 ns/op	     585 B/op	      19 allocs/op
BenchmarkEncodingDecode/flat/single-object/dynamic/iskorotkov-8         	 1000000	      1082 ns/op	     585 B/op	      19 allocs/op
BenchmarkEncodingDecode/flat/single-object/dynamic/iskorotkov-8         	 1000000	      1092 ns/op	     585 B/op	      19 allocs/op
BenchmarkEncodingDecode/flat/single-object/dynamic/iskorotkov-8         	 1000000	      1102 ns/op	     585 B/op	      19 allocs/op
BenchmarkEncodingDecode/flat/single-object/dynamic/twmb-8               	 2501451	       481.8 ns/op	     465 B/op	      11 allocs/op
BenchmarkEncodingDecode/flat/single-object/dynamic/twmb-8               	 2480604	       486.9 ns/op	     465 B/op	      11 allocs/op
BenchmarkEncodingDecode/flat/single-object/dynamic/twmb-8               	 2424504	       491.0 ns/op	     465 B/op	      11 allocs/op
BenchmarkEncodingDecode/flat/single-object/dynamic/twmb-8               	 2459929	       491.9 ns/op	     465 B/op	      11 allocs/op
BenchmarkEncodingDecode/flat/single-object/dynamic/twmb-8               	 2440219	       491.8 ns/op	     465 B/op	      11 allocs/op
BenchmarkEncodingDecode/flat/single-object/dynamic/twmb-8               	 2423515	       491.8 ns/op	     465 B/op	      11 allocs/op
BenchmarkEncodingDecode/flat/single-object/dynamic/twmb-8               	 2416128	       492.1 ns/op	     465 B/op	      11 allocs/op
BenchmarkEncodingDecode/flat/single-object/dynamic/twmb-8               	 2428220	       485.0 ns/op	     465 B/op	      11 allocs/op
BenchmarkEncodingDecode/flat/single-object/dynamic/twmb-8               	 2493693	       485.6 ns/op	     465 B/op	      11 allocs/op
BenchmarkEncodingDecode/flat/single-object/dynamic/twmb-8               	 2507713	       476.9 ns/op	     465 B/op	      11 allocs/op
BenchmarkEncodingDecode/flat/single-object/dynamic/goavro-8             	 3644271	       331.3 ns/op	     448 B/op	      10 allocs/op
BenchmarkEncodingDecode/flat/single-object/dynamic/goavro-8             	 3614304	       334.2 ns/op	     448 B/op	      10 allocs/op
BenchmarkEncodingDecode/flat/single-object/dynamic/goavro-8             	 3591717	       349.1 ns/op	     448 B/op	      10 allocs/op
BenchmarkEncodingDecode/flat/single-object/dynamic/goavro-8             	 3659292	       331.0 ns/op	     448 B/op	      10 allocs/op
BenchmarkEncodingDecode/flat/single-object/dynamic/goavro-8             	 3642750	       330.0 ns/op	     448 B/op	      10 allocs/op
BenchmarkEncodingDecode/flat/single-object/dynamic/goavro-8             	 3623163	       330.1 ns/op	     448 B/op	      10 allocs/op
BenchmarkEncodingDecode/flat/single-object/dynamic/goavro-8             	 3617762	       327.3 ns/op	     448 B/op	      10 allocs/op
BenchmarkEncodingDecode/flat/single-object/dynamic/goavro-8             	 3674415	       332.0 ns/op	     448 B/op	      10 allocs/op
BenchmarkEncodingDecode/flat/single-object/dynamic/goavro-8             	 3596364	       333.9 ns/op	     448 B/op	      10 allocs/op
BenchmarkEncodingDecode/flat/single-object/dynamic/goavro-8             	 3630700	       331.1 ns/op	     448 B/op	      10 allocs/op
BenchmarkEncodingDecode/nested/binary/typed/hamba-8                     	 2829135	       426.4 ns/op	     279 B/op	       5 allocs/op
BenchmarkEncodingDecode/nested/binary/typed/hamba-8                     	 2869518	       426.3 ns/op	     279 B/op	       5 allocs/op
BenchmarkEncodingDecode/nested/binary/typed/hamba-8                     	 2803545	       426.3 ns/op	     279 B/op	       5 allocs/op
BenchmarkEncodingDecode/nested/binary/typed/hamba-8                     	 2790234	       421.6 ns/op	     279 B/op	       5 allocs/op
BenchmarkEncodingDecode/nested/binary/typed/hamba-8                     	 2862306	       424.9 ns/op	     279 B/op	       5 allocs/op
BenchmarkEncodingDecode/nested/binary/typed/hamba-8                     	 2806314	       425.7 ns/op	     279 B/op	       5 allocs/op
BenchmarkEncodingDecode/nested/binary/typed/hamba-8                     	 2772196	       438.8 ns/op	     279 B/op	       5 allocs/op
BenchmarkEncodingDecode/nested/binary/typed/hamba-8                     	 2070506	       821.2 ns/op	     279 B/op	       5 allocs/op
BenchmarkEncodingDecode/nested/binary/typed/hamba-8                     	 2362012	       621.8 ns/op	     279 B/op	       5 allocs/op
BenchmarkEncodingDecode/nested/binary/typed/hamba-8                     	 1577841	       673.1 ns/op	     279 B/op	       5 allocs/op
BenchmarkEncodingDecode/nested/binary/typed/iskorotkov-8                	 2537833	       490.2 ns/op	     279 B/op	       5 allocs/op
BenchmarkEncodingDecode/nested/binary/typed/iskorotkov-8                	 2309420	       506.7 ns/op	     279 B/op	       5 allocs/op
BenchmarkEncodingDecode/nested/binary/typed/iskorotkov-8                	 2562151	       408.4 ns/op	     279 B/op	       5 allocs/op
BenchmarkEncodingDecode/nested/binary/typed/iskorotkov-8                	 2261190	       466.3 ns/op	     279 B/op	       5 allocs/op
BenchmarkEncodingDecode/nested/binary/typed/iskorotkov-8                	 2026246	       526.1 ns/op	     279 B/op	       5 allocs/op
BenchmarkEncodingDecode/nested/binary/typed/iskorotkov-8                	 2541315	       420.2 ns/op	     279 B/op	       5 allocs/op
BenchmarkEncodingDecode/nested/binary/typed/iskorotkov-8                	 3007548	       400.4 ns/op	     279 B/op	       5 allocs/op
BenchmarkEncodingDecode/nested/binary/typed/iskorotkov-8                	 2952058	       403.8 ns/op	     279 B/op	       5 allocs/op
BenchmarkEncodingDecode/nested/binary/typed/iskorotkov-8                	 2913646	       401.5 ns/op	     279 B/op	       5 allocs/op
BenchmarkEncodingDecode/nested/binary/typed/iskorotkov-8                	 2705829	       472.0 ns/op	     279 B/op	       5 allocs/op
BenchmarkEncodingDecode/nested/binary/typed/twmb-8                      	 2465914	       504.0 ns/op	     311 B/op	       5 allocs/op
BenchmarkEncodingDecode/nested/binary/typed/twmb-8                      	 2354587	       491.1 ns/op	     311 B/op	       5 allocs/op
BenchmarkEncodingDecode/nested/binary/typed/twmb-8                      	 2520928	       494.2 ns/op	     311 B/op	       5 allocs/op
BenchmarkEncodingDecode/nested/binary/typed/twmb-8                      	 2509737	       491.5 ns/op	     311 B/op	       5 allocs/op
BenchmarkEncodingDecode/nested/binary/typed/twmb-8                      	 2548683	       467.2 ns/op	     311 B/op	       5 allocs/op
BenchmarkEncodingDecode/nested/binary/typed/twmb-8                      	 2550084	       474.0 ns/op	     311 B/op	       5 allocs/op
BenchmarkEncodingDecode/nested/binary/typed/twmb-8                      	 2608640	       475.4 ns/op	     311 B/op	       5 allocs/op
BenchmarkEncodingDecode/nested/binary/typed/twmb-8                      	 2512731	       493.0 ns/op	     311 B/op	       5 allocs/op
BenchmarkEncodingDecode/nested/binary/typed/twmb-8                      	 1991608	       611.9 ns/op	     311 B/op	       5 allocs/op
BenchmarkEncodingDecode/nested/binary/typed/twmb-8                      	 2440018	       471.2 ns/op	     311 B/op	       5 allocs/op
BenchmarkEncodingDecode/nested/binary/dynamic/hamba-8                   	  399217	      2991 ns/op	    2039 B/op	      60 allocs/op
BenchmarkEncodingDecode/nested/binary/dynamic/hamba-8                   	  397731	      2982 ns/op	    2040 B/op	      60 allocs/op
BenchmarkEncodingDecode/nested/binary/dynamic/hamba-8                   	  389106	      2994 ns/op	    2040 B/op	      60 allocs/op
BenchmarkEncodingDecode/nested/binary/dynamic/hamba-8                   	  397725	      3001 ns/op	    2039 B/op	      60 allocs/op
BenchmarkEncodingDecode/nested/binary/dynamic/hamba-8                   	  398246	      3006 ns/op	    2039 B/op	      60 allocs/op
BenchmarkEncodingDecode/nested/binary/dynamic/hamba-8                   	  409242	      2973 ns/op	    2040 B/op	      60 allocs/op
BenchmarkEncodingDecode/nested/binary/dynamic/hamba-8                   	  401604	      3690 ns/op	    2040 B/op	      60 allocs/op
BenchmarkEncodingDecode/nested/binary/dynamic/hamba-8                   	  382442	      3156 ns/op	    2040 B/op	      60 allocs/op
BenchmarkEncodingDecode/nested/binary/dynamic/hamba-8                   	  403903	      3082 ns/op	    2040 B/op	      60 allocs/op
BenchmarkEncodingDecode/nested/binary/dynamic/hamba-8                   	  396055	      3045 ns/op	    2040 B/op	      60 allocs/op
BenchmarkEncodingDecode/nested/binary/dynamic/iskorotkov-8              	  403974	      3140 ns/op	    2040 B/op	      60 allocs/op
BenchmarkEncodingDecode/nested/binary/dynamic/iskorotkov-8              	  395301	      3475 ns/op	    2040 B/op	      60 allocs/op
BenchmarkEncodingDecode/nested/binary/dynamic/iskorotkov-8              	  381466	      3338 ns/op	    2040 B/op	      60 allocs/op
BenchmarkEncodingDecode/nested/binary/dynamic/iskorotkov-8              	  380115	      3806 ns/op	    2039 B/op	      60 allocs/op
BenchmarkEncodingDecode/nested/binary/dynamic/iskorotkov-8              	  282514	      4054 ns/op	    2040 B/op	      60 allocs/op
BenchmarkEncodingDecode/nested/binary/dynamic/iskorotkov-8              	  309428	      4134 ns/op	    2040 B/op	      60 allocs/op
BenchmarkEncodingDecode/nested/binary/dynamic/iskorotkov-8              	  309606	      3620 ns/op	    2040 B/op	      60 allocs/op
BenchmarkEncodingDecode/nested/binary/dynamic/iskorotkov-8              	  320227	      3413 ns/op	    2040 B/op	      60 allocs/op
BenchmarkEncodingDecode/nested/binary/dynamic/iskorotkov-8              	  366498	      3225 ns/op	    2040 B/op	      60 allocs/op
