goos: darwin
goarch: arm64
pkg: github.com/slachiewicz/go-avro-bench
cpu: Apple M1
BenchmarkPulsarPattern/flat/hamba-8         	 9234936	       127.9 ns/op	     105 B/op	       1 allocs/op
BenchmarkPulsarPattern/flat/twmb-8          	 9292717	       129.7 ns/op	     105 B/op	       2 allocs/op
BenchmarkPulsarPattern/flat/twmb-8          	 8546698	       140.1 ns/op	     105 B/op	       2 allocs/op
BenchmarkPulsarPattern/flat/twmb-8          	 8597578	       134.7 ns/op	     105 B/op	       2 allocs/op
BenchmarkPulsarPattern/flat/twmb-8          	 8976067	       134.4 ns/op	     105 B/op	       2 allocs/op
BenchmarkPulsarPattern/flat/twmb-8          	 8728166	       154.2 ns/op	     105 B/op	       2 allocs/op
BenchmarkPulsarPattern/flat/twmb-8          	 8192283	       209.7 ns/op	     105 B/op	       2 allocs/op
BenchmarkPulsarPattern/nested/hamba-8       	 2311002	       481.6 ns/op	     279 B/op	       5 allocs/op
BenchmarkPulsarPattern/nested/hamba-8       	 2819124	       397.8 ns/op	     279 B/op	       5 allocs/op
BenchmarkPulsarPattern/nested/hamba-8       	 2864023	       412.6 ns/op	     279 B/op	       5 allocs/op
BenchmarkPulsarPattern/nested/hamba-8       	 2989368	       387.2 ns/op	     279 B/op	       5 allocs/op
BenchmarkPulsarPattern/nested/hamba-8       	 2548112	       582.0 ns/op	     279 B/op	       5 allocs/op
BenchmarkPulsarPattern/nested/hamba-8       	 3123457	       402.9 ns/op	     279 B/op	       5 allocs/op
BenchmarkPulsarPattern/nested/hamba-8       	 2970034	       392.1 ns/op	     279 B/op	       5 allocs/op
BenchmarkPulsarPattern/nested/hamba-8       	 3011838	       407.4 ns/op	     279 B/op	       5 allocs/op
BenchmarkPulsarPattern/nested/hamba-8       	 3103627	       392.2 ns/op	     279 B/op	       5 allocs/op
BenchmarkPulsarPattern/nested/hamba-8       	 3071479	       390.4 ns/op	     279 B/op	       5 allocs/op
BenchmarkPulsarPattern/nested/iskorotkov-8  	 3428854	       356.6 ns/op	     279 B/op	       5 allocs/op
BenchmarkPulsarPattern/nested/iskorotkov-8  	 3395508	       363.0 ns/op	     279 B/op	       5 allocs/op
BenchmarkPulsarPattern/nested/iskorotkov-8  	 3330976	       358.8 ns/op	     279 B/op	       5 allocs/op
BenchmarkPulsarPattern/nested/iskorotkov-8  	 3331063	       372.4 ns/op	     279 B/op	       5 allocs/op
BenchmarkPulsarPattern/nested/iskorotkov-8  	 3338514	       433.2 ns/op	     279 B/op	       5 allocs/op
BenchmarkPulsarPattern/nested/iskorotkov-8  	 3074421	       374.1 ns/op	     279 B/op	       5 allocs/op
BenchmarkPulsarPattern/nested/iskorotkov-8  	 3252542	       361.3 ns/op	     279 B/op	       5 allocs/op
BenchmarkPulsarPattern/nested/iskorotkov-8  	 3398124	       372.7 ns/op	     279 B/op	       5 allocs/op
BenchmarkPulsarPattern/nested/iskorotkov-8  	 3255746	       363.8 ns/op	     279 B/op	       5 allocs/op
BenchmarkPulsarPattern/nested/iskorotkov-8  	 3208869	       363.6 ns/op	     279 B/op	       5 allocs/op
BenchmarkPulsarPattern/nested/twmb-8        	 2729946	       445.4 ns/op	     311 B/op	       5 allocs/op
BenchmarkPulsarPattern/nested/twmb-8        	 2700583	       467.4 ns/op	     311 B/op	       5 allocs/op
BenchmarkPulsarPattern/nested/twmb-8        	 2431260	       478.0 ns/op	     311 B/op	       5 allocs/op
BenchmarkPulsarPattern/nested/twmb-8        	 2706705	       441.9 ns/op	     311 B/op	       5 allocs/op
BenchmarkPulsarPattern/nested/twmb-8        	 2710287	       445.9 ns/op	     311 B/op	       5 allocs/op
BenchmarkPulsarPattern/nested/twmb-8        	 2686694	       444.7 ns/op	     311 B/op	       5 allocs/op
BenchmarkPulsarPattern/nested/twmb-8        	 2701102	       454.2 ns/op	     311 B/op	       5 allocs/op
BenchmarkPulsarPattern/nested/twmb-8        	 2696874	       466.9 ns/op	     311 B/op	       5 allocs/op
BenchmarkPulsarPattern/nested/twmb-8        	 2709105	       461.2 ns/op	     311 B/op	       5 allocs/op
BenchmarkPulsarPattern/nested/twmb-8        	 2585698	       444.2 ns/op	     311 B/op	       5 allocs/op
BenchmarkPulsarPattern/union/hamba-8        	 1527854	       780.7 ns/op	     711 B/op	      11 allocs/op
BenchmarkPulsarPattern/union/hamba-8        	 1561942	       770.8 ns/op	     711 B/op	      11 allocs/op
BenchmarkPulsarPattern/union/hamba-8        	 1572350	       809.9 ns/op	     711 B/op	      11 allocs/op
BenchmarkPulsarPattern/union/hamba-8        	 1563777	       769.7 ns/op	     711 B/op	      11 allocs/op
BenchmarkPulsarPattern/union/hamba-8        	 1583331	       801.0 ns/op	     711 B/op	      11 allocs/op
BenchmarkPulsarPattern/union/hamba-8        	 1576911	       782.6 ns/op	     711 B/op	      11 allocs/op
BenchmarkPulsarPattern/union/hamba-8        	 1282401	       913.9 ns/op	     711 B/op	      11 allocs/op
BenchmarkPulsarPattern/union/hamba-8        	 1539009	       778.5 ns/op	     711 B/op	      11 allocs/op
BenchmarkPulsarPattern/union/hamba-8        	 1583424	       771.9 ns/op	     711 B/op	      11 allocs/op
BenchmarkPulsarPattern/union/hamba-8        	 1547043	       765.8 ns/op	     711 B/op	      11 allocs/op
BenchmarkPulsarPattern/union/iskorotkov-8   	 1885855	       650.8 ns/op	     711 B/op	      11 allocs/op
BenchmarkPulsarPattern/union/iskorotkov-8   	 1897891	       636.1 ns/op	     711 B/op	      11 allocs/op
BenchmarkPulsarPattern/union/iskorotkov-8   	 1845733	       640.3 ns/op	     711 B/op	      11 allocs/op
BenchmarkPulsarPattern/union/iskorotkov-8   	 1846377	       646.8 ns/op	     711 B/op	      11 allocs/op
BenchmarkPulsarPattern/union/iskorotkov-8   	 1860980	       644.8 ns/op	     711 B/op	      11 allocs/op
BenchmarkPulsarPattern/union/iskorotkov-8   	 1830904	       653.4 ns/op	     711 B/op	      11 allocs/op
BenchmarkPulsarPattern/union/iskorotkov-8   	 1793502	       662.8 ns/op	     711 B/op	      11 allocs/op
BenchmarkPulsarPattern/union/iskorotkov-8   	 1690005	       666.3 ns/op	     711 B/op	      11 allocs/op
BenchmarkPulsarPattern/union/iskorotkov-8   	 1846657	       675.9 ns/op	     711 B/op	      11 allocs/op
BenchmarkPulsarPattern/union/iskorotkov-8   	 1817896	       672.2 ns/op	     711 B/op	      11 allocs/op
BenchmarkPulsarPattern/union/twmb-8         	 1512926	       751.9 ns/op	     690 B/op	      10 allocs/op
BenchmarkPulsarPattern/union/twmb-8         	 1613708	       761.0 ns/op	     690 B/op	      10 allocs/op
BenchmarkPulsarPattern/union/twmb-8         	 1501434	       759.6 ns/op	     690 B/op	      10 allocs/op
BenchmarkPulsarPattern/union/twmb-8         	 1596853	       751.0 ns/op	     690 B/op	      10 allocs/op
BenchmarkPulsarPattern/union/twmb-8         	 1554900	       759.3 ns/op	     690 B/op	      10 allocs/op
BenchmarkPulsarPattern/union/twmb-8         	 1623112	       751.8 ns/op	     690 B/op	      10 allocs/op
BenchmarkPulsarPattern/union/twmb-8         	 1612177	       743.2 ns/op	     690 B/op	      10 allocs/op
BenchmarkPulsarPattern/union/twmb-8         	 1647292	       739.4 ns/op	     690 B/op	      10 allocs/op
BenchmarkPulsarPattern/union/twmb-8         	 1645450	       731.7 ns/op	     690 B/op	      10 allocs/op
BenchmarkPulsarPattern/union/twmb-8         	 1610899	       758.4 ns/op	     690 B/op	      10 allocs/op
BenchmarkPulsarPattern/wide/hamba-8         	  572170	      2007 ns/op	     626 B/op	      21 allocs/op
BenchmarkPulsarPattern/wide/hamba-8         	  625143	      2045 ns/op	     626 B/op	      21 allocs/op
BenchmarkPulsarPattern/wide/hamba-8         	  587920	      2054 ns/op	     626 B/op	      21 allocs/op
BenchmarkPulsarPattern/wide/hamba-8         	  601092	      1996 ns/op	     626 B/op	      21 allocs/op
BenchmarkPulsarPattern/wide/hamba-8         	  614590	      2031 ns/op	     626 B/op	      21 allocs/op
BenchmarkPulsarPattern/wide/hamba-8         	  612813	      1946 ns/op	     626 B/op	      21 allocs/op
BenchmarkPulsarPattern/wide/hamba-8         	  596103	      1982 ns/op	     626 B/op	      21 allocs/op
BenchmarkPulsarPattern/wide/hamba-8         	  605270	      1974 ns/op	     626 B/op	      21 allocs/op
BenchmarkPulsarPattern/wide/hamba-8         	  606318	      1984 ns/op	     626 B/op	      21 allocs/op
BenchmarkPulsarPattern/wide/hamba-8         	  641671	      1975 ns/op	     626 B/op	      21 allocs/op
BenchmarkPulsarPattern/wide/iskorotkov-8    	 1000000	      1022 ns/op	     626 B/op	      21 allocs/op
BenchmarkPulsarPattern/wide/iskorotkov-8    	 1000000	      1117 ns/op	     626 B/op	      21 allocs/op
BenchmarkPulsarPattern/wide/iskorotkov-8    	 1000000	      1036 ns/op	     626 B/op	      21 allocs/op
BenchmarkPulsarPattern/wide/iskorotkov-8    	 1000000	      1042 ns/op	     626 B/op	      21 allocs/op
BenchmarkPulsarPattern/wide/iskorotkov-8    	 1000000	      1071 ns/op	     626 B/op	      21 allocs/op
BenchmarkPulsarPattern/wide/iskorotkov-8    	 1000000	      1035 ns/op	     626 B/op	      21 allocs/op
BenchmarkPulsarPattern/wide/iskorotkov-8    	 1000000	      1053 ns/op	     626 B/op	      21 allocs/op
BenchmarkPulsarPattern/wide/iskorotkov-8    	 1000000	      1024 ns/op	     626 B/op	      21 allocs/op
BenchmarkPulsarPattern/wide/iskorotkov-8    	 1000000	      1071 ns/op	     626 B/op	      21 allocs/op
BenchmarkPulsarPattern/wide/iskorotkov-8    	 1000000	      1041 ns/op	     626 B/op	      21 allocs/op
BenchmarkPulsarPattern/wide/twmb-8          	 1236924	       959.2 ns/op	     626 B/op	      21 allocs/op
BenchmarkPulsarPattern/wide/twmb-8          	 1236738	       973.7 ns/op	     626 B/op	      21 allocs/op
BenchmarkPulsarPattern/wide/twmb-8          	 1262160	       956.2 ns/op	     626 B/op	      21 allocs/op
BenchmarkPulsarPattern/wide/twmb-8          	 1238762	       948.5 ns/op	     626 B/op	      21 allocs/op
BenchmarkPulsarPattern/wide/twmb-8          	 1254777	       956.4 ns/op	     626 B/op	      21 allocs/op
BenchmarkPulsarPattern/wide/twmb-8          	 1273797	       974.8 ns/op	     626 B/op	      21 allocs/op
BenchmarkPulsarPattern/wide/twmb-8          	 1254295	       959.0 ns/op	     626 B/op	      21 allocs/op
BenchmarkPulsarPattern/wide/twmb-8          	 1251306	       964.4 ns/op	     626 B/op	      21 allocs/op
BenchmarkPulsarPattern/wide/twmb-8          	 1000000	      1002 ns/op	     626 B/op	      21 allocs/op
BenchmarkPulsarPattern/wide/twmb-8          	 1233980	       998.1 ns/op	     626 B/op	      21 allocs/op
BenchmarkCodecCacheEffect/cached/hamba-8    	 2588712	       427.8 ns/op	     279 B/op	       5 allocs/op
BenchmarkCodecCacheEffect/cached/hamba-8    	 2875964	       412.8 ns/op	     279 B/op	       5 allocs/op
BenchmarkCodecCacheEffect/cached/hamba-8    	 2951174	       409.1 ns/op	     279 B/op	       5 allocs/op
BenchmarkCodecCacheEffect/cached/hamba-8    	 2906058	       444.4 ns/op	     279 B/op	       5 allocs/op
BenchmarkCodecCacheEffect/cached/hamba-8    	 2879466	       409.9 ns/op	     279 B/op	       5 allocs/op
BenchmarkCodecCacheEffect/cached/hamba-8    	 2979186	       412.7 ns/op	     279 B/op	       5 allocs/op
BenchmarkCodecCacheEffect/cached/hamba-8    	 2909066	       435.3 ns/op	     279 B/op	       5 allocs/op
BenchmarkCodecCacheEffect/cached/hamba-8    	 2933137	       409.9 ns/op	     279 B/op	       5 allocs/op
BenchmarkCodecCacheEffect/cached/hamba-8    	 2878412	       411.3 ns/op	     279 B/op	       5 allocs/op
BenchmarkCodecCacheEffect/cached/hamba-8    	 2912130	       409.9 ns/op	     279 B/op	       5 allocs/op
BenchmarkCodecCacheEffect/reparsed/hamba-8  	   17344	     69429 ns/op	   73159 B/op	    1056 allocs/op
BenchmarkCodecCacheEffect/reparsed/hamba-8  	   17038	     69682 ns/op	   73160 B/op	    1056 allocs/op
BenchmarkCodecCacheEffect/reparsed/hamba-8  	   17354	     70883 ns/op	   73159 B/op	    1056 allocs/op
BenchmarkCodecCacheEffect/reparsed/hamba-8  	   16956	     71059 ns/op	   73161 B/op	    1056 allocs/op
BenchmarkCodecCacheEffect/reparsed/hamba-8  	   16824	     73786 ns/op	   73162 B/op	    1056 allocs/op
BenchmarkCodecCacheEffect/reparsed/hamba-8  	   15583	     71545 ns/op	   73159 B/op	    1056 allocs/op
BenchmarkCodecCacheEffect/reparsed/hamba-8  	   16285	     71391 ns/op	   73159 B/op	    1056 allocs/op
BenchmarkCodecCacheEffect/reparsed/hamba-8  	   16954	     72029 ns/op	   73163 B/op	    1056 allocs/op
BenchmarkCodecCacheEffect/reparsed/hamba-8  	   16930	     70973 ns/op	   73158 B/op	    1056 allocs/op
BenchmarkCodecCacheEffect/reparsed/hamba-8  	   16852	     74409 ns/op	   73163 B/op	    1056 allocs/op
PASS
ok  	github.com/slachiewicz/go-avro-bench	230.625s
