goos: darwin
goarch: arm64
pkg: github.com/slachiewicz/go-avro-bench
cpu: Apple M1
BenchmarkSRDecode/flat/goavro-plain-8         	  980168	      1208 ns/op	    1152 B/op	      24 allocs/op
BenchmarkSRDecode/flat/hamba-8                	  630328	      1867 ns/op	    1242 B/op	      35 allocs/op
BenchmarkSRDecode/flat/hamba-8                	  655688	      1829 ns/op	    1242 B/op	      35 allocs/op
BenchmarkSRDecode/flat/hamba-8                	  657115	      1831 ns/op	    1242 B/op	      35 allocs/op
BenchmarkSRDecode/flat/iskorotkov-8           	  664557	      1810 ns/op	    1242 B/op	      35 allocs/op
BenchmarkSRDecode/flat/iskorotkov-8           	  671007	      1804 ns/op	    1242 B/op	      35 allocs/op
BenchmarkSRDecode/flat/iskorotkov-8           	  673923	      1804 ns/op	    1242 B/op	      35 allocs/op
BenchmarkSRDecode/flat/iskorotkov-8           	  669757	      1804 ns/op	    1242 B/op	      35 allocs/op
BenchmarkSRDecode/flat/iskorotkov-8           	  672192	      1804 ns/op	    1242 B/op	      35 allocs/op
BenchmarkSRDecode/flat/iskorotkov-8           	  653616	      1802 ns/op	    1242 B/op	      35 allocs/op
BenchmarkSRDecode/flat/iskorotkov-8           	  666872	      1823 ns/op	    1242 B/op	      35 allocs/op
BenchmarkSRDecode/flat/iskorotkov-8           	  654279	      1834 ns/op	    1242 B/op	      35 allocs/op
BenchmarkSRDecode/flat/iskorotkov-8           	  656840	      1809 ns/op	    1242 B/op	      35 allocs/op
BenchmarkSRDecode/flat/iskorotkov-8           	  616846	      1845 ns/op	    1242 B/op	      35 allocs/op
BenchmarkSRDecode/flat/twmb-8                 	 1347499	       921.6 ns/op	     713 B/op	      16 allocs/op
BenchmarkSRDecode/flat/twmb-8                 	 1354490	       886.8 ns/op	     713 B/op	      16 allocs/op
BenchmarkSRDecode/flat/twmb-8                 	 1353554	       888.7 ns/op	     713 B/op	      16 allocs/op
BenchmarkSRDecode/flat/twmb-8                 	 1356475	       895.1 ns/op	     713 B/op	      16 allocs/op
BenchmarkSRDecode/flat/twmb-8                 	 1325005	       890.9 ns/op	     713 B/op	      16 allocs/op
BenchmarkSRDecode/flat/twmb-8                 	 1350550	       891.4 ns/op	     713 B/op	      16 allocs/op
BenchmarkSRDecode/flat/twmb-8                 	 1353028	       889.8 ns/op	     713 B/op	      16 allocs/op
BenchmarkSRDecode/flat/twmb-8                 	 1351800	       891.2 ns/op	     713 B/op	      16 allocs/op
BenchmarkSRDecode/flat/twmb-8                 	 1350877	       887.9 ns/op	     713 B/op	      16 allocs/op
BenchmarkSRDecode/flat/twmb-8                 	 1350578	       898.6 ns/op	     713 B/op	      16 allocs/op
BenchmarkSRDecode/nested/goavro-plain-8       	  303512	      4043 ns/op	    4392 B/op	      71 allocs/op
BenchmarkSRDecode/nested/goavro-plain-8       	  291304	      4018 ns/op	    4392 B/op	      71 allocs/op
BenchmarkSRDecode/nested/goavro-plain-8       	  305632	      3949 ns/op	    4392 B/op	      71 allocs/op
BenchmarkSRDecode/nested/goavro-plain-8       	  295112	      3971 ns/op	    4392 B/op	      71 allocs/op
BenchmarkSRDecode/nested/goavro-plain-8       	  305476	      3960 ns/op	    4392 B/op	      71 allocs/op
BenchmarkSRDecode/nested/goavro-plain-8       	  298045	      3966 ns/op	    4392 B/op	      71 allocs/op
BenchmarkSRDecode/nested/goavro-plain-8       	  302626	      4000 ns/op	    4392 B/op	      71 allocs/op
BenchmarkSRDecode/nested/goavro-plain-8       	  300672	      3957 ns/op	    4392 B/op	      71 allocs/op
BenchmarkSRDecode/nested/goavro-plain-8       	  303628	      4201 ns/op	    4392 B/op	      71 allocs/op
BenchmarkSRDecode/nested/goavro-plain-8       	  278580	      3967 ns/op	    4392 B/op	      71 allocs/op
BenchmarkSRDecode/nested/goavro-stdjson-8     	  302496	      3963 ns/op	    4392 B/op	      71 allocs/op
BenchmarkSRDecode/nested/goavro-stdjson-8     	  300804	      4080 ns/op	    4392 B/op	      71 allocs/op
BenchmarkSRDecode/nested/goavro-stdjson-8     	  306252	      3952 ns/op	    4392 B/op	      71 allocs/op
BenchmarkSRDecode/nested/goavro-stdjson-8     	  299397	      4000 ns/op	    4392 B/op	      71 allocs/op
BenchmarkSRDecode/nested/goavro-stdjson-8     	  305744	      4079 ns/op	    4392 B/op	      71 allocs/op
BenchmarkSRDecode/nested/goavro-stdjson-8     	  296832	      4099 ns/op	    4392 B/op	      71 allocs/op
BenchmarkSRDecode/nested/goavro-stdjson-8     	  301591	      3972 ns/op	    4392 B/op	      71 allocs/op
BenchmarkSRDecode/nested/goavro-stdjson-8     	  300823	      3982 ns/op	    4392 B/op	      71 allocs/op
BenchmarkSRDecode/nested/goavro-stdjson-8     	  301900	      3957 ns/op	    4392 B/op	      71 allocs/op
BenchmarkSRDecode/nested/goavro-stdjson-8     	  306309	      3951 ns/op	    4392 B/op	      71 allocs/op
BenchmarkSRDecode/nested/hamba-8              	  219597	      5394 ns/op	    3899 B/op	     107 allocs/op
BenchmarkSRDecode/nested/hamba-8              	  225469	      5377 ns/op	    3899 B/op	     107 allocs/op
BenchmarkSRDecode/nested/hamba-8              	  221918	      5383 ns/op	    3899 B/op	     107 allocs/op
BenchmarkSRDecode/nested/hamba-8              	  224438	      5369 ns/op	    3899 B/op	     107 allocs/op
BenchmarkSRDecode/nested/hamba-8              	  218872	      5474 ns/op	    3899 B/op	     107 allocs/op
BenchmarkSRDecode/nested/hamba-8              	  223918	      5362 ns/op	    3899 B/op	     107 allocs/op
BenchmarkSRDecode/nested/hamba-8              	  222103	      5412 ns/op	    3899 B/op	     107 allocs/op
BenchmarkSRDecode/nested/hamba-8              	  225648	      5347 ns/op	    3899 B/op	     107 allocs/op
BenchmarkSRDecode/nested/hamba-8              	  222008	      5360 ns/op	    3899 B/op	     107 allocs/op
BenchmarkSRDecode/nested/hamba-8              	  224275	      5351 ns/op	    3899 B/op	     107 allocs/op
BenchmarkSRDecode/nested/iskorotkov-8         	  223262	      5417 ns/op	    3899 B/op	     107 allocs/op
BenchmarkSRDecode/nested/iskorotkov-8         	  226285	      5344 ns/op	    3899 B/op	     107 allocs/op
BenchmarkSRDecode/nested/iskorotkov-8         	  221658	      5363 ns/op	    3899 B/op	     107 allocs/op
BenchmarkSRDecode/nested/iskorotkov-8         	  221092	      5348 ns/op	    3899 B/op	     107 allocs/op
BenchmarkSRDecode/nested/iskorotkov-8         	  223011	      5372 ns/op	    3899 B/op	     107 allocs/op
BenchmarkSRDecode/nested/iskorotkov-8         	  226412	      5338 ns/op	    3899 B/op	     107 allocs/op
BenchmarkSRDecode/nested/iskorotkov-8         	  221683	      5344 ns/op	    3899 B/op	     107 allocs/op
BenchmarkSRDecode/nested/iskorotkov-8         	  225358	      5345 ns/op	    3899 B/op	     107 allocs/op
BenchmarkSRDecode/nested/iskorotkov-8         	  223352	      5344 ns/op	    3899 B/op	     107 allocs/op
BenchmarkSRDecode/nested/iskorotkov-8         	  226036	      5334 ns/op	    3899 B/op	     107 allocs/op
BenchmarkSRDecode/nested/twmb-8               	  461157	      2575 ns/op	    2648 B/op	      36 allocs/op
BenchmarkSRDecode/nested/twmb-8               	  467678	      2576 ns/op	    2648 B/op	      36 allocs/op
BenchmarkSRDecode/nested/twmb-8               	  468729	      2574 ns/op	    2648 B/op	      36 allocs/op
BenchmarkSRDecode/nested/twmb-8               	  458130	      2570 ns/op	    2648 B/op	      36 allocs/op
BenchmarkSRDecode/nested/twmb-8               	  468717	      2579 ns/op	    2648 B/op	      36 allocs/op
BenchmarkSRDecode/nested/twmb-8               	  467491	      2577 ns/op	    2648 B/op	      36 allocs/op
BenchmarkSRDecode/nested/twmb-8               	  467667	      2577 ns/op	    2648 B/op	      36 allocs/op
BenchmarkSRDecode/nested/twmb-8               	  465597	      2582 ns/op	    2648 B/op	      36 allocs/op
BenchmarkSRDecode/nested/twmb-8               	  470067	      2575 ns/op	    2648 B/op	      36 allocs/op
BenchmarkSRDecode/nested/twmb-8               	  462100	      2575 ns/op	    2648 B/op	      36 allocs/op
BenchmarkSRDecode/union/goavro-plain-8        	  382992	      3081 ns/op	    4000 B/op	      73 allocs/op
BenchmarkSRDecode/union/goavro-plain-8        	  392091	      3083 ns/op	    4000 B/op	      73 allocs/op
BenchmarkSRDecode/union/goavro-plain-8        	  390885	      3077 ns/op	    4000 B/op	      73 allocs/op
BenchmarkSRDecode/union/goavro-plain-8        	  393867	      3085 ns/op	    4000 B/op	      73 allocs/op
BenchmarkSRDecode/union/goavro-plain-8        	  384640	      3084 ns/op	    4000 B/op	      73 allocs/op
BenchmarkSRDecode/union/goavro-plain-8        	  392127	      3083 ns/op	    4000 B/op	      73 allocs/op
BenchmarkSRDecode/union/goavro-plain-8        	  393502	      3076 ns/op	    4000 B/op	      73 allocs/op
BenchmarkSRDecode/union/goavro-plain-8        	  392571	      3098 ns/op	    4000 B/op	      73 allocs/op
BenchmarkSRDecode/union/goavro-plain-8        	  392022	      3094 ns/op	    4000 B/op	      73 allocs/op
BenchmarkSRDecode/union/goavro-plain-8        	  392139	      3081 ns/op	    4000 B/op	      73 allocs/op
BenchmarkSRDecode/union/goavro-stdjson-8      	  417631	      2890 ns/op	    3440 B/op	      69 allocs/op
BenchmarkSRDecode/union/goavro-stdjson-8      	  416356	      2891 ns/op	    3440 B/op	      69 allocs/op
BenchmarkSRDecode/union/goavro-stdjson-8      	  415897	      2891 ns/op	    3440 B/op	      69 allocs/op
BenchmarkSRDecode/union/goavro-stdjson-8      	  409803	      2893 ns/op	    3440 B/op	      69 allocs/op
BenchmarkSRDecode/union/goavro-stdjson-8      	  409663	      2892 ns/op	    3440 B/op	      69 allocs/op
BenchmarkSRDecode/union/goavro-stdjson-8      	  416739	      2895 ns/op	    3440 B/op	      69 allocs/op
BenchmarkSRDecode/union/goavro-stdjson-8      	  417073	      2898 ns/op	    3440 B/op	      69 allocs/op
BenchmarkSRDecode/union/goavro-stdjson-8      	  416667	      2894 ns/op	    3440 B/op	      69 allocs/op
BenchmarkSRDecode/union/goavro-stdjson-8      	  417024	      2901 ns/op	    3440 B/op	      69 allocs/op
BenchmarkSRDecode/union/goavro-stdjson-8      	  410275	      2897 ns/op	    3440 B/op	      69 allocs/op
BenchmarkSRDecode/union/hamba-8               	  367893	      3252 ns/op	    2313 B/op	      59 allocs/op
BenchmarkSRDecode/union/hamba-8               	  370052	      3262 ns/op	    2313 B/op	      59 allocs/op
BenchmarkSRDecode/union/hamba-8               	  372008	      3257 ns/op	    2313 B/op	      59 allocs/op
BenchmarkSRDecode/union/hamba-8               	  374230	      3247 ns/op	    2313 B/op	      59 allocs/op
BenchmarkSRDecode/union/hamba-8               	  370401	      3246 ns/op	    2313 B/op	      59 allocs/op
BenchmarkSRDecode/union/hamba-8               	  371829	      3246 ns/op	    2313 B/op	      59 allocs/op
BenchmarkSRDecode/union/hamba-8               	  361941	      3248 ns/op	    2313 B/op	      59 allocs/op
BenchmarkSRDecode/union/hamba-8               	  371097	      3246 ns/op	    2313 B/op	      59 allocs/op
BenchmarkSRDecode/union/hamba-8               	  370956	      3245 ns/op	    2313 B/op	      59 allocs/op
BenchmarkSRDecode/union/hamba-8               	  365070	      3286 ns/op	    2313 B/op	      59 allocs/op
BenchmarkSRDecode/union/iskorotkov-8          	  367047	      3261 ns/op	    2313 B/op	      59 allocs/op
BenchmarkSRDecode/union/iskorotkov-8          	  364027	      3250 ns/op	    2313 B/op	      59 allocs/op
BenchmarkSRDecode/union/iskorotkov-8          	  370249	      3237 ns/op	    2313 B/op	      59 allocs/op
BenchmarkSRDecode/union/iskorotkov-8          	  371565	      3252 ns/op	    2313 B/op	      59 allocs/op
BenchmarkSRDecode/union/iskorotkov-8          	  368226	      3260 ns/op	    2313 B/op	      59 allocs/op
BenchmarkSRDecode/union/iskorotkov-8          	  370479	      3257 ns/op	    2313 B/op	      59 allocs/op
BenchmarkSRDecode/union/iskorotkov-8          	  368750	      3253 ns/op	    2313 B/op	      59 allocs/op
BenchmarkSRDecode/union/iskorotkov-8          	  370486	      3248 ns/op	    2313 B/op	      59 allocs/op
BenchmarkSRDecode/union/iskorotkov-8          	  360298	      3249 ns/op	    2313 B/op	      59 allocs/op
BenchmarkSRDecode/union/iskorotkov-8          	  361268	      3249 ns/op	    2313 B/op	      59 allocs/op
BenchmarkSRDecode/union/twmb-8                	  509272	      2361 ns/op	    2211 B/op	      36 allocs/op
BenchmarkSRDecode/union/twmb-8                	  509565	      2368 ns/op	    2211 B/op	      36 allocs/op
BenchmarkSRDecode/union/twmb-8                	  512691	      2376 ns/op	    2211 B/op	      36 allocs/op
BenchmarkSRDecode/union/twmb-8                	  511233	      2372 ns/op	    2211 B/op	      36 allocs/op
BenchmarkSRDecode/union/twmb-8                	  508934	      2374 ns/op	    2211 B/op	      36 allocs/op
BenchmarkSRDecode/union/twmb-8                	  511094	      2365 ns/op	    2211 B/op	      36 allocs/op
BenchmarkSRDecode/union/twmb-8                	  513346	      2364 ns/op	    2211 B/op	      36 allocs/op
BenchmarkSRDecode/union/twmb-8                	  498075	      2373 ns/op	    2211 B/op	      36 allocs/op
BenchmarkSRDecode/union/twmb-8                	  501660	      2363 ns/op	    2211 B/op	      36 allocs/op
BenchmarkSRDecode/union/twmb-8                	  511978	      2370 ns/op	    2211 B/op	      36 allocs/op
BenchmarkSRDecode/wide/goavro-plain-8         	  118183	     10148 ns/op	   15023 B/op	     158 allocs/op
BenchmarkSRDecode/wide/goavro-plain-8         	  117022	     10204 ns/op	   15026 B/op	     158 allocs/op
BenchmarkSRDecode/wide/goavro-plain-8         	  119059	     10253 ns/op	   15023 B/op	     158 allocs/op
BenchmarkSRDecode/wide/goavro-plain-8         	  118123	     10169 ns/op	   15026 B/op	     158 allocs/op
BenchmarkSRDecode/wide/goavro-plain-8         	  118468	     10181 ns/op	   15023 B/op	     158 allocs/op
BenchmarkSRDecode/wide/goavro-plain-8         	  116689	     10178 ns/op	   15024 B/op	     158 allocs/op
BenchmarkSRDecode/wide/goavro-plain-8         	  117238	     10231 ns/op	   15024 B/op	     158 allocs/op
BenchmarkSRDecode/wide/goavro-plain-8         	  119766	     10159 ns/op	   15025 B/op	     158 allocs/op
BenchmarkSRDecode/wide/goavro-plain-8         	  117536	     10148 ns/op	   15023 B/op	     158 allocs/op
BenchmarkSRDecode/wide/goavro-plain-8         	  117844	     10149 ns/op	   15023 B/op	     158 allocs/op
BenchmarkSRDecode/wide/goavro-stdjson-8       	  129430	      9340 ns/op	   13802 B/op	     137 allocs/op
BenchmarkSRDecode/wide/goavro-stdjson-8       	  125031	      9643 ns/op	   13802 B/op	     137 allocs/op
BenchmarkSRDecode/wide/goavro-stdjson-8       	  129168	      9376 ns/op	   13803 B/op	     137 allocs/op
BenchmarkSRDecode/wide/goavro-stdjson-8       	  128025	      9314 ns/op	   13801 B/op	     137 allocs/op
BenchmarkSRDecode/wide/goavro-stdjson-8       	  129700	      9298 ns/op	   13802 B/op	     137 allocs/op
BenchmarkSRDecode/wide/goavro-stdjson-8       	  126643	      9330 ns/op	   13801 B/op	     137 allocs/op
BenchmarkSRDecode/wide/goavro-stdjson-8       	  127958	      9383 ns/op	   13802 B/op	     137 allocs/op
BenchmarkSRDecode/wide/goavro-stdjson-8       	  129932	      9468 ns/op	   13803 B/op	     137 allocs/op
BenchmarkSRDecode/wide/goavro-stdjson-8       	  129604	      9273 ns/op	   13801 B/op	     137 allocs/op
BenchmarkSRDecode/wide/goavro-stdjson-8       	  129952	      9360 ns/op	   13802 B/op	     137 allocs/op
BenchmarkSRDecode/wide/hamba-8                	  115146	     10470 ns/op	    7185 B/op	     169 allocs/op
BenchmarkSRDecode/wide/hamba-8                	  113752	     10490 ns/op	    7185 B/op	     169 allocs/op
BenchmarkSRDecode/wide/hamba-8                	  114428	     10482 ns/op	    7185 B/op	     169 allocs/op
BenchmarkSRDecode/wide/hamba-8                	  114300	     10474 ns/op	    7186 B/op	     169 allocs/op
BenchmarkSRDecode/wide/hamba-8                	  114985	     10487 ns/op	    7186 B/op	     169 allocs/op
BenchmarkSRDecode/wide/hamba-8                	  113353	     10476 ns/op	    7186 B/op	     169 allocs/op
BenchmarkSRDecode/wide/hamba-8                	  113553	     10682 ns/op	    7186 B/op	     169 allocs/op
BenchmarkSRDecode/wide/hamba-8                	  115184	     10479 ns/op	    7186 B/op	     169 allocs/op
BenchmarkSRDecode/wide/hamba-8                	  113365	     10497 ns/op	    7186 B/op	     169 allocs/op
BenchmarkSRDecode/wide/hamba-8                	  114326	     10489 ns/op	    7186 B/op	     169 allocs/op
BenchmarkSRDecode/wide/iskorotkov-8           	  113926	     10567 ns/op	    7186 B/op	     169 allocs/op
BenchmarkSRDecode/wide/iskorotkov-8           	  113646	     10577 ns/op	    7186 B/op	     169 allocs/op
BenchmarkSRDecode/wide/iskorotkov-8           	  113245	     10573 ns/op	    7186 B/op	     169 allocs/op
BenchmarkSRDecode/wide/iskorotkov-8           	  112585	     10561 ns/op	    7186 B/op	     169 allocs/op
BenchmarkSRDecode/wide/iskorotkov-8           	  113028	     10589 ns/op	    7186 B/op	     169 allocs/op
BenchmarkSRDecode/wide/iskorotkov-8           	  112867	     10573 ns/op	    7186 B/op	     169 allocs/op
BenchmarkSRDecode/wide/iskorotkov-8           	  113817	     10555 ns/op	    7186 B/op	     169 allocs/op
BenchmarkSRDecode/wide/iskorotkov-8           	  113643	     10574 ns/op	    7186 B/op	     169 allocs/op
BenchmarkSRDecode/wide/iskorotkov-8           	  112341	     10583 ns/op	    7186 B/op	     169 allocs/op
BenchmarkSRDecode/wide/iskorotkov-8           	  113160	     10589 ns/op	    7186 B/op	     169 allocs/op
BenchmarkSRDecode/wide/twmb-8                 	  198424	      6035 ns/op	    4780 B/op	      50 allocs/op
BenchmarkSRDecode/wide/twmb-8                 	  195448	      6056 ns/op	    4780 B/op	      50 allocs/op
BenchmarkSRDecode/wide/twmb-8                 	  198289	      6031 ns/op	    4780 B/op	      50 allocs/op
BenchmarkSRDecode/wide/twmb-8                 	  195669	      6040 ns/op	    4780 B/op	      50 allocs/op
BenchmarkSRDecode/wide/twmb-8                 	  199489	      6025 ns/op	    4780 B/op	      50 allocs/op
BenchmarkSRDecode/wide/twmb-8                 	  194337	      6051 ns/op	    4780 B/op	      50 allocs/op
BenchmarkSRDecode/wide/twmb-8                 	  197012	      6058 ns/op	    4780 B/op	      50 allocs/op
BenchmarkSRDecode/wide/twmb-8                 	  194884	      6065 ns/op	    4780 B/op	      50 allocs/op
BenchmarkSRDecode/wide/twmb-8                 	  198162	      6030 ns/op	    4780 B/op	      50 allocs/op
BenchmarkSRDecode/wide/twmb-8                 	  194815	      6059 ns/op	    4780 B/op	      50 allocs/op
BenchmarkSREncode/flat/goavro-plain-8         	  986486	      1207 ns/op	     872 B/op	      39 allocs/op
BenchmarkSREncode/flat/goavro-plain-8         	  996535	      1208 ns/op	     872 B/op	      39 allocs/op
BenchmarkSREncode/flat/goavro-plain-8         	 1000000	      1208 ns/op	     872 B/op	      39 allocs/op
BenchmarkSREncode/flat/goavro-plain-8         	 1000000	      1207 ns/op	     872 B/op	      39 allocs/op
BenchmarkSREncode/flat/goavro-plain-8         	 1000000	      1208 ns/op	     872 B/op	      39 allocs/op
BenchmarkSREncode/flat/goavro-plain-8         	 1000000	      1207 ns/op	     872 B/op	      39 allocs/op
BenchmarkSREncode/flat/goavro-plain-8         	  999000	      1207 ns/op	     872 B/op	      39 allocs/op
BenchmarkSREncode/flat/goavro-plain-8         	 1000000	      1207 ns/op	     872 B/op	      39 allocs/op
BenchmarkSREncode/flat/goavro-plain-8         	  996915	      1207 ns/op	     872 B/op	      39 allocs/op
BenchmarkSREncode/flat/goavro-plain-8         	 1000000	      1208 ns/op	     872 B/op	      39 allocs/op
BenchmarkSREncode/flat/goavro-stdjson-8       	  993921	      1225 ns/op	     872 B/op	      39 allocs/op
BenchmarkSREncode/flat/goavro-stdjson-8       	  990954	      1223 ns/op	     872 B/op	      39 allocs/op
BenchmarkSREncode/flat/goavro-stdjson-8       	  990235	      1223 ns/op	     872 B/op	      39 allocs/op
BenchmarkSREncode/flat/goavro-stdjson-8       	  958341	      1225 ns/op	     872 B/op	      39 allocs/op
BenchmarkSREncode/flat/goavro-stdjson-8       	  974206	      1221 ns/op	     872 B/op	      39 allocs/op
BenchmarkSREncode/flat/goavro-stdjson-8       	  988358	      1224 ns/op	     872 B/op	      39 allocs/op
BenchmarkSREncode/flat/goavro-stdjson-8       	  990687	      1223 ns/op	     872 B/op	      39 allocs/op
BenchmarkSREncode/flat/goavro-stdjson-8       	  989673	      1223 ns/op	     872 B/op	      39 allocs/op
BenchmarkSREncode/flat/goavro-stdjson-8       	  988460	      1223 ns/op	     872 B/op	      39 allocs/op
BenchmarkSREncode/flat/goavro-stdjson-8       	  982230	      1223 ns/op	     872 B/op	      39 allocs/op
BenchmarkSREncode/flat/twmb-bare-8            	  805773	      1486 ns/op	     864 B/op	      29 allocs/op
BenchmarkSREncode/flat/twmb-bare-8            	  818754	      1484 ns/op	     864 B/op	      29 allocs/op
BenchmarkSREncode/flat/twmb-bare-8            	  813404	      1484 ns/op	     864 B/op	      29 allocs/op
BenchmarkSREncode/flat/twmb-bare-8            	  813427	      1486 ns/op	     864 B/op	      29 allocs/op
BenchmarkSREncode/flat/twmb-bare-8            	  819061	      1500 ns/op	     864 B/op	      29 allocs/op
BenchmarkSREncode/flat/twmb-bare-8            	  817081	      1484 ns/op	     864 B/op	      29 allocs/op
BenchmarkSREncode/flat/twmb-bare-8            	  815008	      1484 ns/op	     864 B/op	      29 allocs/op
BenchmarkSREncode/flat/twmb-bare-8            	  814818	      1485 ns/op	     864 B/op	      29 allocs/op
BenchmarkSREncode/flat/twmb-bare-8            	  813561	      1485 ns/op	     864 B/op	      29 allocs/op
BenchmarkSREncode/flat/twmb-bare-8            	  785935	      1485 ns/op	     864 B/op	      29 allocs/op
BenchmarkSREncode/flat/twmb-wrapped-8         	  897702	      1342 ns/op	     825 B/op	      20 allocs/op
BenchmarkSREncode/flat/twmb-wrapped-8         	  906618	      1341 ns/op	     825 B/op	      20 allocs/op
BenchmarkSREncode/flat/twmb-wrapped-8         	  903387	      1343 ns/op	     825 B/op	      20 allocs/op
BenchmarkSREncode/flat/twmb-wrapped-8         	  905042	      1341 ns/op	     825 B/op	      20 allocs/op
BenchmarkSREncode/flat/twmb-wrapped-8         	  897162	      1341 ns/op	     825 B/op	      20 allocs/op
BenchmarkSREncode/flat/twmb-wrapped-8         	  907111	      1342 ns/op	     825 B/op	      20 allocs/op
BenchmarkSREncode/flat/twmb-wrapped-8         	  887721	      1343 ns/op	     825 B/op	      20 allocs/op
BenchmarkSREncode/flat/twmb-wrapped-8         	  895483	      1344 ns/op	     825 B/op	      20 allocs/op
BenchmarkSREncode/flat/twmb-wrapped-8         	  861217	      1343 ns/op	     825 B/op	      20 allocs/op
BenchmarkSREncode/flat/twmb-wrapped-8         	  908124	      1339 ns/op	     825 B/op	      20 allocs/op
BenchmarkSREncode/nested/goavro-plain-8       	  312879	      3851 ns/op	    2816 B/op	     110 allocs/op
BenchmarkSREncode/nested/goavro-plain-8       	  311806	      3856 ns/op	    2816 B/op	     110 allocs/op
BenchmarkSREncode/nested/goavro-plain-8       	  313635	      3854 ns/op	    2816 B/op	     110 allocs/op
BenchmarkSREncode/nested/goavro-plain-8       	  310142	      3854 ns/op	    2816 B/op	     110 allocs/op
BenchmarkSREncode/nested/goavro-plain-8       	  314877	      3845 ns/op	    2816 B/op	     110 allocs/op
BenchmarkSREncode/nested/goavro-plain-8       	  310184	      3855 ns/op	    2816 B/op	     110 allocs/op
BenchmarkSREncode/nested/goavro-plain-8       	  312255	      3851 ns/op	    2816 B/op	     110 allocs/op
BenchmarkSREncode/nested/goavro-plain-8       	  308214	      3875 ns/op	    2816 B/op	     110 allocs/op
BenchmarkSREncode/nested/goavro-plain-8       	  312189	      3847 ns/op	    2816 B/op	     110 allocs/op
BenchmarkSREncode/nested/goavro-plain-8       	  312573	      3853 ns/op	    2816 B/op	     110 allocs/op
BenchmarkSREncode/nested/goavro-stdjson-8     	  309247	      3826 ns/op	    2816 B/op	     110 allocs/op
BenchmarkSREncode/nested/goavro-stdjson-8     	  315716	      3827 ns/op	    2816 B/op	     110 allocs/op
BenchmarkSREncode/nested/goavro-stdjson-8     	  312003	      3827 ns/op	    2816 B/op	     110 allocs/op
BenchmarkSREncode/nested/goavro-stdjson-8     	  316995	      3824 ns/op	    2816 B/op	     110 allocs/op
BenchmarkSREncode/nested/goavro-stdjson-8     	  308062	      3825 ns/op	    2816 B/op	     110 allocs/op
