goos: darwin
goarch: arm64
pkg: github.com/slachiewicz/go-avro-bench
cpu: Apple M1
BenchmarkDecodeDynamic/flat/hamba-8         	 1541840	       757.7 ns/op	     585 B/op	      19 allocs/op
BenchmarkDecodeDynamic/nested/twmb-alias-8  	 1251709	       965.9 ns/op	    1584 B/op	      29 allocs/op
BenchmarkDecodeDynamic/nested/twmb-alias-8  	 1254757	       957.7 ns/op	    1584 B/op	      29 allocs/op
BenchmarkDecodeDynamic/nested/goavro-8      	 1489171	       807.8 ns/op	    1688 B/op	      35 allocs/op
BenchmarkDecodeDynamic/nested/goavro-8      	 1469450	       802.4 ns/op	    1688 B/op	      35 allocs/op
BenchmarkDecodeDynamic/nested/goavro-8      	 1477138	       820.3 ns/op	    1688 B/op	      35 allocs/op
BenchmarkDecodeDynamic/nested/goavro-8      	 1483503	       809.8 ns/op	    1688 B/op	      35 allocs/op
BenchmarkDecodeDynamic/nested/goavro-8      	 1476403	       807.4 ns/op	    1688 B/op	      35 allocs/op
BenchmarkDecodeDynamic/nested/goavro-8      	 1455757	       807.7 ns/op	    1688 B/op	      35 allocs/op
BenchmarkDecodeDynamic/nested/goavro-8      	 1484330	       804.7 ns/op	    1688 B/op	      35 allocs/op
BenchmarkDecodeDynamic/nested/goavro-8      	 1462706	       809.9 ns/op	    1688 B/op	      35 allocs/op
BenchmarkDecodeDynamic/nested/goavro-8      	 1477267	       812.6 ns/op	    1688 B/op	      35 allocs/op
BenchmarkDecodeDynamic/nested/goavro-8      	 1446319	       830.2 ns/op	    1688 B/op	      35 allocs/op
BenchmarkDecodeDynamic/union/hamba-8        	  775249	      1550 ns/op	    1271 B/op	      34 allocs/op
BenchmarkDecodeDynamic/union/hamba-8        	  789163	      1539 ns/op	    1271 B/op	      34 allocs/op
BenchmarkDecodeDynamic/union/hamba-8        	  801082	      1546 ns/op	    1271 B/op	      34 allocs/op
BenchmarkDecodeDynamic/union/hamba-8        	  779486	      1529 ns/op	    1271 B/op	      34 allocs/op
BenchmarkDecodeDynamic/union/hamba-8        	  703125	      1551 ns/op	    1271 B/op	      34 allocs/op
BenchmarkDecodeDynamic/union/hamba-8        	  793315	      1548 ns/op	    1271 B/op	      34 allocs/op
BenchmarkDecodeDynamic/union/hamba-8        	  773176	      1535 ns/op	    1271 B/op	      34 allocs/op
BenchmarkDecodeDynamic/union/hamba-8        	  797337	      1532 ns/op	    1271 B/op	      34 allocs/op
BenchmarkDecodeDynamic/union/hamba-8        	  797529	      1545 ns/op	    1271 B/op	      34 allocs/op
BenchmarkDecodeDynamic/union/hamba-8        	  752548	      1542 ns/op	    1271 B/op	      34 allocs/op
BenchmarkDecodeDynamic/union/iskorotkov-8   	  786367	      1538 ns/op	    1271 B/op	      34 allocs/op
BenchmarkDecodeDynamic/union/iskorotkov-8   	  784101	      1549 ns/op	    1271 B/op	      34 allocs/op
BenchmarkDecodeDynamic/union/iskorotkov-8   	  781404	      1546 ns/op	    1271 B/op	      34 allocs/op
BenchmarkDecodeDynamic/union/iskorotkov-8   	  803572	      1525 ns/op	    1271 B/op	      34 allocs/op
BenchmarkDecodeDynamic/union/iskorotkov-8   	  777019	      1543 ns/op	    1271 B/op	      34 allocs/op
BenchmarkDecodeDynamic/union/iskorotkov-8   	  775222	      1531 ns/op	    1271 B/op	      34 allocs/op
BenchmarkDecodeDynamic/union/iskorotkov-8   	  793718	      1525 ns/op	    1271 B/op	      34 allocs/op
BenchmarkDecodeDynamic/union/iskorotkov-8   	  802820	      1538 ns/op	    1271 B/op	      34 allocs/op
BenchmarkDecodeDynamic/union/iskorotkov-8   	  789758	      1521 ns/op	    1271 B/op	      34 allocs/op
BenchmarkDecodeDynamic/union/iskorotkov-8   	  795254	      1534 ns/op	    1271 B/op	      34 allocs/op
BenchmarkDecodeDynamic/union/twmb-8         	 1348006	       897.5 ns/op	    1103 B/op	      21 allocs/op
BenchmarkDecodeDynamic/union/twmb-8         	 1355704	       886.8 ns/op	    1103 B/op	      21 allocs/op
BenchmarkDecodeDynamic/union/twmb-8         	 1337876	       883.8 ns/op	    1103 B/op	      21 allocs/op
BenchmarkDecodeDynamic/union/twmb-8         	 1357026	       913.6 ns/op	    1103 B/op	      21 allocs/op
BenchmarkDecodeDynamic/union/twmb-8         	 1354254	       885.1 ns/op	    1103 B/op	      21 allocs/op
BenchmarkDecodeDynamic/union/twmb-8         	 1340251	       881.6 ns/op	    1103 B/op	      21 allocs/op
BenchmarkDecodeDynamic/union/twmb-8         	 1342294	       881.3 ns/op	    1103 B/op	      21 allocs/op
BenchmarkDecodeDynamic/union/twmb-8         	 1351710	       883.9 ns/op	    1103 B/op	      21 allocs/op
BenchmarkDecodeDynamic/union/twmb-8         	 1352341	       881.0 ns/op	    1103 B/op	      21 allocs/op
BenchmarkDecodeDynamic/union/twmb-8         	 1341070	       903.0 ns/op	    1103 B/op	      21 allocs/op
BenchmarkDecodeDynamic/union/twmb-alias-8   	 1428784	       831.4 ns/op	    1008 B/op	      21 allocs/op
BenchmarkDecodeDynamic/union/twmb-alias-8   	 1449279	       820.2 ns/op	    1008 B/op	      21 allocs/op
BenchmarkDecodeDynamic/union/twmb-alias-8   	 1451863	       818.5 ns/op	    1008 B/op	      21 allocs/op
BenchmarkDecodeDynamic/union/twmb-alias-8   	 1454661	       822.7 ns/op	    1008 B/op	      21 allocs/op
BenchmarkDecodeDynamic/union/twmb-alias-8   	 1452871	       819.1 ns/op	    1008 B/op	      21 allocs/op
BenchmarkDecodeDynamic/union/twmb-alias-8   	 1424432	       823.7 ns/op	    1008 B/op	      21 allocs/op
BenchmarkDecodeDynamic/union/twmb-alias-8   	 1433701	       838.2 ns/op	    1008 B/op	      21 allocs/op
BenchmarkDecodeDynamic/union/twmb-alias-8   	 1427468	       838.2 ns/op	    1008 B/op	      21 allocs/op
BenchmarkDecodeDynamic/union/twmb-alias-8   	 1437573	       822.1 ns/op	    1008 B/op	      21 allocs/op
BenchmarkDecodeDynamic/union/twmb-alias-8   	 1451398	       819.8 ns/op	    1008 B/op	      21 allocs/op
BenchmarkDecodeDynamic/union/goavro-8       	 1000000	      1049 ns/op	    2416 B/op	      49 allocs/op
BenchmarkDecodeDynamic/union/goavro-8       	 1000000	      1044 ns/op	    2416 B/op	      49 allocs/op
BenchmarkDecodeDynamic/union/goavro-8       	 1000000	      1062 ns/op	    2416 B/op	      49 allocs/op
BenchmarkDecodeDynamic/union/goavro-8       	 1000000	      1041 ns/op	    2416 B/op	      49 allocs/op
BenchmarkDecodeDynamic/union/goavro-8       	 1000000	      1047 ns/op	    2416 B/op	      49 allocs/op
BenchmarkDecodeDynamic/union/goavro-8       	 1000000	      1043 ns/op	    2416 B/op	      49 allocs/op
BenchmarkDecodeDynamic/union/goavro-8       	 1000000	      1063 ns/op	    2416 B/op	      49 allocs/op
BenchmarkDecodeDynamic/union/goavro-8       	 1000000	      1078 ns/op	    2416 B/op	      49 allocs/op
BenchmarkDecodeDynamic/union/goavro-8       	 1000000	      1060 ns/op	    2416 B/op	      49 allocs/op
BenchmarkDecodeDynamic/union/goavro-8       	 1000000	      1066 ns/op	    2416 B/op	      49 allocs/op
BenchmarkDecodeDynamic/wide/hamba-8         	  292252	      4131 ns/op	    3467 B/op	      79 allocs/op
BenchmarkDecodeDynamic/wide/hamba-8         	  296542	      4164 ns/op	    3467 B/op	      79 allocs/op
BenchmarkDecodeDynamic/wide/hamba-8         	  265233	      4122 ns/op	    3467 B/op	      79 allocs/op
BenchmarkDecodeDynamic/wide/hamba-8         	  285591	      4100 ns/op	    3467 B/op	      79 allocs/op
BenchmarkDecodeDynamic/wide/hamba-8         	  285864	      4117 ns/op	    3467 B/op	      79 allocs/op
BenchmarkDecodeDynamic/wide/hamba-8         	  292582	      4125 ns/op	    3467 B/op	      79 allocs/op
BenchmarkDecodeDynamic/wide/hamba-8         	  289005	      4163 ns/op	    3467 B/op	      79 allocs/op
BenchmarkDecodeDynamic/wide/hamba-8         	  289592	      4117 ns/op	    3467 B/op	      79 allocs/op
BenchmarkDecodeDynamic/wide/hamba-8         	  283240	      4121 ns/op	    3467 B/op	      79 allocs/op
BenchmarkDecodeDynamic/wide/hamba-8         	  291578	      4107 ns/op	    3467 B/op	      79 allocs/op
BenchmarkDecodeDynamic/wide/iskorotkov-8    	  293796	      4100 ns/op	    3467 B/op	      79 allocs/op
BenchmarkDecodeDynamic/wide/iskorotkov-8    	  293335	      4122 ns/op	    3467 B/op	      79 allocs/op
BenchmarkDecodeDynamic/wide/iskorotkov-8    	  294144	      4092 ns/op	    3467 B/op	      79 allocs/op
BenchmarkDecodeDynamic/wide/iskorotkov-8    	  300087	      4135 ns/op	    3467 B/op	      79 allocs/op
BenchmarkDecodeDynamic/wide/iskorotkov-8    	  290169	      4109 ns/op	    3467 B/op	      79 allocs/op
BenchmarkDecodeDynamic/wide/iskorotkov-8    	  294555	      4059 ns/op	    3467 B/op	      79 allocs/op
BenchmarkDecodeDynamic/wide/iskorotkov-8    	  294464	      4090 ns/op	    3467 B/op	      79 allocs/op
BenchmarkDecodeDynamic/wide/iskorotkov-8    	  294975	      4066 ns/op	    3467 B/op	      79 allocs/op
BenchmarkDecodeDynamic/wide/iskorotkov-8    	  294487	      4066 ns/op	    3467 B/op	      79 allocs/op
BenchmarkDecodeDynamic/wide/iskorotkov-8    	  297756	      4084 ns/op	    3467 B/op	      79 allocs/op
BenchmarkDecodeDynamic/wide/twmb-8          	  458298	      2614 ns/op	    2707 B/op	      22 allocs/op
BenchmarkDecodeDynamic/wide/twmb-8          	  451976	      2621 ns/op	    2707 B/op	      22 allocs/op
BenchmarkDecodeDynamic/wide/twmb-8          	  463041	      2664 ns/op	    2707 B/op	      22 allocs/op
BenchmarkDecodeDynamic/wide/twmb-8          	  462018	      2616 ns/op	    2707 B/op	      22 allocs/op
BenchmarkDecodeDynamic/wide/twmb-8          	  462498	      2618 ns/op	    2707 B/op	      22 allocs/op
BenchmarkDecodeDynamic/wide/twmb-8          	  459076	      2608 ns/op	    2707 B/op	      22 allocs/op
BenchmarkDecodeDynamic/wide/twmb-8          	  465698	      2620 ns/op	    2707 B/op	      22 allocs/op
BenchmarkDecodeDynamic/wide/twmb-8          	  455067	      2623 ns/op	    2707 B/op	      22 allocs/op
BenchmarkDecodeDynamic/wide/twmb-8          	  465652	      2615 ns/op	    2707 B/op	      22 allocs/op
BenchmarkDecodeDynamic/wide/twmb-8          	  452631	      2621 ns/op	    2707 B/op	      22 allocs/op
BenchmarkDecodeDynamic/wide/twmb-alias-8    	  468818	      2578 ns/op	    2641 B/op	      22 allocs/op
BenchmarkDecodeDynamic/wide/twmb-alias-8    	  463174	      2584 ns/op	    2641 B/op	      22 allocs/op
BenchmarkDecodeDynamic/wide/twmb-alias-8    	  466008	      2581 ns/op	    2641 B/op	      22 allocs/op
BenchmarkDecodeDynamic/wide/twmb-alias-8    	  468302	      2575 ns/op	    2641 B/op	      22 allocs/op
BenchmarkDecodeDynamic/wide/twmb-alias-8    	  468598	      2592 ns/op	    2641 B/op	      22 allocs/op
BenchmarkDecodeDynamic/wide/twmb-alias-8    	  470634	      2569 ns/op	    2641 B/op	      22 allocs/op
BenchmarkDecodeDynamic/wide/twmb-alias-8    	  463812	      2580 ns/op	    2641 B/op	      22 allocs/op
BenchmarkDecodeDynamic/wide/twmb-alias-8    	  470407	      2585 ns/op	    2641 B/op	      22 allocs/op
BenchmarkDecodeDynamic/wide/twmb-alias-8    	  467931	      2572 ns/op	    2640 B/op	      22 allocs/op
BenchmarkDecodeDynamic/wide/twmb-alias-8    	  469447	      2579 ns/op	    2641 B/op	      22 allocs/op
BenchmarkDecodeDynamic/wide/goavro-8        	  342027	      3441 ns/op	    9672 B/op	      82 allocs/op
BenchmarkDecodeDynamic/wide/goavro-8        	  340778	      3560 ns/op	    9672 B/op	      82 allocs/op
BenchmarkDecodeDynamic/wide/goavro-8        	  342322	      3497 ns/op	    9672 B/op	      82 allocs/op
BenchmarkDecodeDynamic/wide/goavro-8        	  341083	      3515 ns/op	    9672 B/op	      82 allocs/op
BenchmarkDecodeDynamic/wide/goavro-8        	  345826	      3550 ns/op	    9672 B/op	      82 allocs/op
BenchmarkDecodeDynamic/wide/goavro-8        	  353661	      3436 ns/op	    9672 B/op	      82 allocs/op
BenchmarkDecodeDynamic/wide/goavro-8        	  324757	      3432 ns/op	    9672 B/op	      82 allocs/op
BenchmarkDecodeDynamic/wide/goavro-8        	  350606	      3433 ns/op	    9672 B/op	      82 allocs/op
BenchmarkDecodeDynamic/wide/goavro-8        	  341689	      3425 ns/op	    9672 B/op	      82 allocs/op
BenchmarkDecodeDynamic/wide/goavro-8        	  349382	      3421 ns/op	    9672 B/op	      82 allocs/op
BenchmarkDecodeTyped/flat/hamba-8           	10462917	       115.1 ns/op	     105 B/op	       1 allocs/op
BenchmarkDecodeTyped/flat/hamba-8           	10341728	       114.9 ns/op	     105 B/op	       1 allocs/op
BenchmarkDecodeTyped/flat/hamba-8           	10503224	       115.3 ns/op	     105 B/op	       1 allocs/op
BenchmarkDecodeTyped/flat/hamba-8           	10381344	       115.1 ns/op	     105 B/op	       1 allocs/op
BenchmarkDecodeTyped/flat/hamba-8           	10089138	       115.0 ns/op	     105 B/op	       1 allocs/op
BenchmarkDecodeTyped/flat/hamba-8           	10372288	       116.3 ns/op	     105 B/op	       1 allocs/op
BenchmarkDecodeTyped/flat/hamba-8           	 9577922	       116.4 ns/op	     105 B/op	       1 allocs/op
BenchmarkDecodeTyped/flat/hamba-8           	10357461	       117.8 ns/op	     105 B/op	       1 allocs/op
BenchmarkDecodeTyped/flat/hamba-8           	10445931	       118.1 ns/op	     105 B/op	       1 allocs/op
BenchmarkDecodeTyped/flat/hamba-8           	10394256	       117.6 ns/op	     105 B/op	       1 allocs/op
BenchmarkDecodeTyped/flat/iskorotkov-8      	11408804	       109.5 ns/op	     105 B/op	       1 allocs/op
BenchmarkDecodeTyped/flat/iskorotkov-8      	11265414	       107.1 ns/op	     105 B/op	       1 allocs/op
BenchmarkDecodeTyped/flat/iskorotkov-8      	11072914	       108.3 ns/op	     105 B/op	       1 allocs/op
BenchmarkDecodeTyped/flat/iskorotkov-8      	11371981	       109.8 ns/op	     105 B/op	       1 allocs/op
BenchmarkDecodeTyped/flat/iskorotkov-8      	11375233	       109.1 ns/op	     105 B/op	       1 allocs/op
BenchmarkDecodeTyped/flat/iskorotkov-8      	11361300	       106.7 ns/op	     105 B/op	       1 allocs/op
BenchmarkDecodeTyped/flat/iskorotkov-8      	11359674	       108.3 ns/op	     105 B/op	       1 allocs/op
BenchmarkDecodeTyped/flat/iskorotkov-8      	11383686	       106.1 ns/op	     105 B/op	       1 allocs/op
BenchmarkDecodeTyped/flat/iskorotkov-8      	11268817	       105.7 ns/op	     105 B/op	       1 allocs/op
BenchmarkDecodeTyped/flat/iskorotkov-8      	11360659	       108.2 ns/op	     105 B/op	       1 allocs/op
BenchmarkDecodeTyped/flat/twmb-8            	 8528706	       132.5 ns/op	     105 B/op	       2 allocs/op
BenchmarkDecodeTyped/flat/twmb-8            	 9363444	       124.5 ns/op	     105 B/op	       2 allocs/op
BenchmarkDecodeTyped/flat/twmb-8            	 9806691	       123.6 ns/op	     105 B/op	       2 allocs/op
BenchmarkDecodeTyped/flat/twmb-8            	 9392730	       124.5 ns/op	     105 B/op	       2 allocs/op
BenchmarkDecodeTyped/flat/twmb-8            	 9783046	       123.1 ns/op	     105 B/op	       2 allocs/op
BenchmarkDecodeTyped/flat/twmb-8            	 9805693	       123.0 ns/op	     105 B/op	       2 allocs/op
BenchmarkDecodeTyped/flat/twmb-8            	 9851242	       123.5 ns/op	     105 B/op	       2 allocs/op
BenchmarkDecodeTyped/flat/twmb-8            	 9795674	       123.3 ns/op	     105 B/op	       2 allocs/op
BenchmarkDecodeTyped/flat/twmb-8            	 9340471	       126.8 ns/op	     105 B/op	       2 allocs/op
BenchmarkDecodeTyped/flat/twmb-8            	 9777656	       123.6 ns/op	     105 B/op	       2 allocs/op
BenchmarkDecodeTyped/flat/twmb-alias-8      	10692950	       114.1 ns/op	      80 B/op	       1 allocs/op
BenchmarkDecodeTyped/flat/twmb-alias-8      	10642000	       114.1 ns/op	      80 B/op	       1 allocs/op
BenchmarkDecodeTyped/flat/twmb-alias-8      	10661536	       113.2 ns/op	      80 B/op	       1 allocs/op
BenchmarkDecodeTyped/flat/twmb-alias-8      	10604750	       113.1 ns/op	      80 B/op	       1 allocs/op
BenchmarkDecodeTyped/flat/twmb-alias-8      	10586654	       113.5 ns/op	      80 B/op	       1 allocs/op
BenchmarkDecodeTyped/flat/twmb-alias-8      	10699425	       114.8 ns/op	      80 B/op	       1 allocs/op
BenchmarkDecodeTyped/flat/twmb-alias-8      	10591026	       113.6 ns/op	      80 B/op	       1 allocs/op
BenchmarkDecodeTyped/flat/twmb-alias-8      	10587487	       113.7 ns/op	      80 B/op	       1 allocs/op
BenchmarkDecodeTyped/flat/twmb-alias-8      	10672825	       113.2 ns/op	      80 B/op	       1 allocs/op
BenchmarkDecodeTyped/flat/twmb-alias-8      	10632327	       113.5 ns/op	      80 B/op	       1 allocs/op
BenchmarkDecodeTyped/nested/hamba-8         	 4048050	       298.9 ns/op	     279 B/op	       5 allocs/op
BenchmarkDecodeTyped/nested/hamba-8         	 4045975	       297.7 ns/op	     279 B/op	       5 allocs/op
BenchmarkDecodeTyped/nested/hamba-8         	 4010158	       298.3 ns/op	     279 B/op	       5 allocs/op
BenchmarkDecodeTyped/nested/hamba-8         	 3949956	       299.1 ns/op	     279 B/op	       5 allocs/op
