goos: darwin
goarch: arm64
pkg: github.com/slachiewicz/go-avro-bench
cpu: Apple M1
BenchmarkPulsarPattern/flat/hamba-8         	10448140	       114.7 ns/op	     105 B/op	       1 allocs/op
BenchmarkPulsarPattern/nested/iskorotkov-8  	 4520936	       271.7 ns/op	     279 B/op	       5 allocs/op
BenchmarkPulsarPattern/nested/iskorotkov-8  	 4431652	       270.4 ns/op	     279 B/op	       5 allocs/op
BenchmarkPulsarPattern/nested/twmb-8        	 3223800	       417.5 ns/op	     311 B/op	       5 allocs/op
BenchmarkPulsarPattern/nested/twmb-8        	 3202273	       369.2 ns/op	     311 B/op	       5 allocs/op
BenchmarkPulsarPattern/nested/twmb-8        	 2949610	       436.9 ns/op	     311 B/op	       5 allocs/op
BenchmarkPulsarPattern/nested/twmb-8        	 3231990	       376.5 ns/op	     311 B/op	       5 allocs/op
BenchmarkPulsarPattern/nested/twmb-8        	 3254048	       368.3 ns/op	     311 B/op	       5 allocs/op
BenchmarkPulsarPattern/nested/twmb-8        	 3254725	       373.1 ns/op	     311 B/op	       5 allocs/op
BenchmarkPulsarPattern/nested/twmb-8        	 3267937	       437.3 ns/op	     311 B/op	       5 allocs/op
BenchmarkPulsarPattern/nested/twmb-8        	 3119082	       385.4 ns/op	     311 B/op	       5 allocs/op
BenchmarkPulsarPattern/nested/twmb-8        	 3014106	       382.6 ns/op	     311 B/op	       5 allocs/op
BenchmarkPulsarPattern/nested/twmb-8        	 3218660	       375.5 ns/op	     311 B/op	       5 allocs/op
BenchmarkPulsarPattern/union/hamba-8        	 2034306	       594.4 ns/op	     711 B/op	      11 allocs/op
BenchmarkPulsarPattern/union/hamba-8        	 1984756	       594.0 ns/op	     711 B/op	      11 allocs/op
BenchmarkPulsarPattern/union/hamba-8        	 2021997	       626.0 ns/op	     711 B/op	      11 allocs/op
BenchmarkPulsarPattern/union/hamba-8        	 2027403	       630.3 ns/op	     711 B/op	      11 allocs/op
BenchmarkPulsarPattern/union/hamba-8        	 1782282	       603.6 ns/op	     711 B/op	      11 allocs/op
BenchmarkPulsarPattern/union/hamba-8        	 1992130	       596.8 ns/op	     711 B/op	      11 allocs/op
BenchmarkPulsarPattern/union/hamba-8        	 1858617	       728.2 ns/op	     711 B/op	      11 allocs/op
BenchmarkPulsarPattern/union/hamba-8        	 1976832	       598.0 ns/op	     711 B/op	      11 allocs/op
BenchmarkPulsarPattern/union/hamba-8        	 1946023	       597.1 ns/op	     711 B/op	      11 allocs/op
BenchmarkPulsarPattern/union/hamba-8        	 1942765	       595.7 ns/op	     711 B/op	      11 allocs/op
BenchmarkPulsarPattern/union/iskorotkov-8   	 2475243	       491.8 ns/op	     711 B/op	      11 allocs/op
BenchmarkPulsarPattern/union/iskorotkov-8   	 2459770	       503.0 ns/op	     711 B/op	      11 allocs/op
BenchmarkPulsarPattern/union/iskorotkov-8   	 2420778	       491.0 ns/op	     711 B/op	      11 allocs/op
BenchmarkPulsarPattern/union/iskorotkov-8   	 2462032	       487.7 ns/op	     711 B/op	      11 allocs/op
BenchmarkPulsarPattern/union/iskorotkov-8   	 2047663	       520.6 ns/op	     711 B/op	      11 allocs/op
BenchmarkPulsarPattern/union/iskorotkov-8   	 2211885	       499.2 ns/op	     711 B/op	      11 allocs/op
BenchmarkPulsarPattern/union/iskorotkov-8   	 2454015	       519.3 ns/op	     711 B/op	      11 allocs/op
BenchmarkPulsarPattern/union/iskorotkov-8   	 2362747	       528.4 ns/op	     711 B/op	      11 allocs/op
BenchmarkPulsarPattern/union/iskorotkov-8   	 2410820	       511.6 ns/op	     711 B/op	      11 allocs/op
BenchmarkPulsarPattern/union/iskorotkov-8   	 2464728	       499.9 ns/op	     711 B/op	      11 allocs/op
BenchmarkPulsarPattern/union/twmb-8         	 1851432	       621.6 ns/op	     687 B/op	       9 allocs/op
BenchmarkPulsarPattern/union/twmb-8         	 1926061	       614.7 ns/op	     687 B/op	       9 allocs/op
BenchmarkPulsarPattern/union/twmb-8         	 2005988	       598.1 ns/op	     687 B/op	       9 allocs/op
BenchmarkPulsarPattern/union/twmb-8         	 2022318	       702.2 ns/op	     687 B/op	       9 allocs/op
BenchmarkPulsarPattern/union/twmb-8         	 1855209	       604.2 ns/op	     687 B/op	       9 allocs/op
BenchmarkPulsarPattern/union/twmb-8         	 2013618	       597.3 ns/op	     687 B/op	       9 allocs/op
BenchmarkPulsarPattern/union/twmb-8         	 2012118	       612.1 ns/op	     687 B/op	       9 allocs/op
BenchmarkPulsarPattern/union/twmb-8         	 2019678	       605.8 ns/op	     687 B/op	       9 allocs/op
BenchmarkPulsarPattern/union/twmb-8         	 2007570	       598.1 ns/op	     687 B/op	       9 allocs/op
BenchmarkPulsarPattern/union/twmb-8         	 1999526	       601.2 ns/op	     687 B/op	       9 allocs/op
BenchmarkPulsarPattern/wide/hamba-8         	  690724	      1590 ns/op	     626 B/op	      21 allocs/op
BenchmarkPulsarPattern/wide/hamba-8         	  759002	      1593 ns/op	     626 B/op	      21 allocs/op
BenchmarkPulsarPattern/wide/hamba-8         	  758887	      1589 ns/op	     626 B/op	      21 allocs/op
BenchmarkPulsarPattern/wide/hamba-8         	  760066	      1608 ns/op	     626 B/op	      21 allocs/op
BenchmarkPulsarPattern/wide/hamba-8         	  765975	      1623 ns/op	     626 B/op	      21 allocs/op
BenchmarkPulsarPattern/wide/hamba-8         	  730444	      1603 ns/op	     626 B/op	      21 allocs/op
BenchmarkPulsarPattern/wide/hamba-8         	  742980	      1578 ns/op	     626 B/op	      21 allocs/op
BenchmarkPulsarPattern/wide/hamba-8         	  762469	      1567 ns/op	     626 B/op	      21 allocs/op
BenchmarkPulsarPattern/wide/hamba-8         	  762182	      1575 ns/op	     626 B/op	      21 allocs/op
BenchmarkPulsarPattern/wide/hamba-8         	  759200	      1577 ns/op	     626 B/op	      21 allocs/op
BenchmarkPulsarPattern/wide/iskorotkov-8    	 1581758	       742.5 ns/op	     626 B/op	      21 allocs/op
BenchmarkPulsarPattern/wide/iskorotkov-8    	 1626534	       733.0 ns/op	     626 B/op	      21 allocs/op
BenchmarkPulsarPattern/wide/iskorotkov-8    	 1611483	       740.3 ns/op	     626 B/op	      21 allocs/op
BenchmarkPulsarPattern/wide/iskorotkov-8    	 1622070	       747.9 ns/op	     626 B/op	      21 allocs/op
BenchmarkPulsarPattern/wide/iskorotkov-8    	 1596541	       735.7 ns/op	     626 B/op	      21 allocs/op
BenchmarkPulsarPattern/wide/iskorotkov-8    	 1620206	       874.9 ns/op	     626 B/op	      21 allocs/op
BenchmarkPulsarPattern/wide/iskorotkov-8    	 1424118	       889.4 ns/op	     626 B/op	      21 allocs/op
BenchmarkPulsarPattern/wide/iskorotkov-8    	 1587686	       737.2 ns/op	     626 B/op	      21 allocs/op
BenchmarkPulsarPattern/wide/iskorotkov-8    	 1607976	       803.3 ns/op	     626 B/op	      21 allocs/op
BenchmarkPulsarPattern/wide/iskorotkov-8    	 1483410	       746.6 ns/op	     626 B/op	      21 allocs/op
BenchmarkPulsarPattern/wide/twmb-8          	 1521219	       802.6 ns/op	     626 B/op	      21 allocs/op
BenchmarkPulsarPattern/wide/twmb-8          	 1504461	       784.6 ns/op	     626 B/op	      21 allocs/op
BenchmarkPulsarPattern/wide/twmb-8          	 1533829	       796.2 ns/op	     626 B/op	      21 allocs/op
BenchmarkPulsarPattern/wide/twmb-8          	 1534412	       791.2 ns/op	     626 B/op	      21 allocs/op
BenchmarkPulsarPattern/wide/twmb-8          	 1529313	       792.0 ns/op	     626 B/op	      21 allocs/op
BenchmarkPulsarPattern/wide/twmb-8          	 1512525	       787.5 ns/op	     626 B/op	      21 allocs/op
BenchmarkPulsarPattern/wide/twmb-8          	 1522262	       782.7 ns/op	     626 B/op	      21 allocs/op
BenchmarkPulsarPattern/wide/twmb-8          	 1537378	       789.2 ns/op	     626 B/op	      21 allocs/op
BenchmarkPulsarPattern/wide/twmb-8          	 1534819	       784.3 ns/op	     626 B/op	      21 allocs/op
BenchmarkPulsarPattern/wide/twmb-8          	 1531326	       795.0 ns/op	     626 B/op	      21 allocs/op
BenchmarkCodecCacheEffect/cached/hamba-8    	 3976260	       308.9 ns/op	     279 B/op	       5 allocs/op
BenchmarkCodecCacheEffect/cached/hamba-8    	 3801172	       303.2 ns/op	     279 B/op	       5 allocs/op
BenchmarkCodecCacheEffect/cached/hamba-8    	 3980216	       301.8 ns/op	     279 B/op	       5 allocs/op
BenchmarkCodecCacheEffect/cached/hamba-8    	 3987045	       304.3 ns/op	     279 B/op	       5 allocs/op
BenchmarkCodecCacheEffect/cached/hamba-8    	 3976732	       303.2 ns/op	     279 B/op	       5 allocs/op
BenchmarkCodecCacheEffect/cached/hamba-8    	 3964028	       300.8 ns/op	     279 B/op	       5 allocs/op
BenchmarkCodecCacheEffect/cached/hamba-8    	 3945723	       307.0 ns/op	     279 B/op	       5 allocs/op
BenchmarkCodecCacheEffect/cached/hamba-8    	 3964866	       306.8 ns/op	     279 B/op	       5 allocs/op
BenchmarkCodecCacheEffect/cached/hamba-8    	 3940184	       304.9 ns/op	     279 B/op	       5 allocs/op
BenchmarkCodecCacheEffect/cached/hamba-8    	 3611788	       316.8 ns/op	     279 B/op	       5 allocs/op
BenchmarkCodecCacheEffect/reparsed/hamba-8  	   19119	     63464 ns/op	   79193 B/op	    1404 allocs/op
BenchmarkCodecCacheEffect/reparsed/hamba-8  	   18914	     63157 ns/op	   79190 B/op	    1404 allocs/op
BenchmarkCodecCacheEffect/reparsed/hamba-8  	   18612	     64343 ns/op	   79193 B/op	    1404 allocs/op
BenchmarkCodecCacheEffect/reparsed/hamba-8  	   18908	     62554 ns/op	   79191 B/op	    1404 allocs/op
BenchmarkCodecCacheEffect/reparsed/hamba-8  	   19062	     81876 ns/op	   79190 B/op	    1404 allocs/op
BenchmarkCodecCacheEffect/reparsed/hamba-8  	   18891	     63777 ns/op	   79192 B/op	    1404 allocs/op
BenchmarkCodecCacheEffect/reparsed/hamba-8  	   18783	     63640 ns/op	   79192 B/op	    1404 allocs/op
BenchmarkCodecCacheEffect/reparsed/hamba-8  	   18910	     65072 ns/op	   79192 B/op	    1404 allocs/op
BenchmarkCodecCacheEffect/reparsed/hamba-8  	   18981	     63950 ns/op	   79191 B/op	    1404 allocs/op
BenchmarkCodecCacheEffect/reparsed/hamba-8  	   18559	     65215 ns/op	   79192 B/op	    1404 allocs/op
PASS
